	chr11:74699092-74699151	chr11:74699152-74699241	chr11:74699242-74699291	chr11:74699292-74699341	chr11:74699342-74699391	chr11:74699392-74699431	chr11:74699432-74699481	chr11:74699482-74699541	chr11:74699542-74699691	chr11:74699692-74699771	chr11:74699772-74699841	chr11:74699842-74699991	chr11:74699992-74700141	chr11:74700142-74700291	chr11:74700292-74700401	chr11:74700402-74700411	chr11:74700412-74700441	chr11:74700442-74700521	chr11:74700522-74700591	chr11:74700592-74700611	chr11:74700612-74700651	chr11:74700652-74700691	chr11:74700692-74700721	chr11:74700722-74700741	chr11:74700742-74700751	chr11:74700752-74700791	chr11:74700792-74700801	chr11:74700802-74700891	chr11:74700892-74700901	chr11:74700902-74700931	chr11:74700932-74700961	chr11:74700962-74700991	chr11:74700992-74701001	chr11:74701002-74701041	chr11:74701042-74701081	chr11:74701082-74701141	chr11:74701142-74701191	chr11:74701192-74701341	chr11:74701342-74701491	chr11:74701492-74701641	chr11:74701642-74701701	chr11:74701702-74701741	chr11:74701742-74701791	chr11:74701792-74701861	chr11:74701862-74701941	chr11:74701942-74702091	chr11:74702092-74702241	chr11:74702242-74702321	chr11:74702322-74702391	chr11:74702392-74702461	chr11:74702462-74702471	chr11:74702472-74702521	chr11:74702522-74702541	chr11:74702542-74702591	chr11:74702592-74702691	chr11:74702692-74702841	chr11:74702842-74702901	chr11:74702902-74702991	chr11:74702992-74703011	chr11:74703012-74703141	chr11:74703142-74703161	chr11:74703162-74703171	chr11:74703172-74703231	chr11:74703232-74703241	chr11:74703242-74703291	chr11:74703292-74703391	chr11:74703392-74703441	chr11:74703442-74703491	chr11:74703492-74703521	chr11:74703522-74703591	chr11:74703592-74703611	chr11:74703612-74703741	chr11:74703742-74703831	chr11:74703832-74703891	chr11:74703892-74703911	chr11:74703912-74703991	chr11:74703992-74704041	chr11:74704042-74704146	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.c19bd00a-5c6a-4173-86bf-6f467b56a6c8.fc.signal	0	0	0	0	0	0	0.0187084	0.0849572	0.15559	0.093322	0.132257	0.223927	0.314477	0.41448	0.255947	0.22222	0.114389	0.101736	0	0	0.0458127	0.32414	0.421489	0.41951	0.419112	0.433336	0.55975	0.396892	0.139882	0.140299	0.140191	0.140437	0.14055	0.138636	0.14	0.191658	0.302906	0.301349	0.185154	0.141964	0.044724	0	0	0	0	0.112532	0.241054	0.406257	0.396592	0.409893	0.554242	0.476625	0.360575	0.36937	0.36808	0.340736	0.177774	0.233118	0.544002	0.611068	0.59038	0.497453	0.241361	0.262114	0.0937954	0.118513	0.13343	0.133514	0.04453	0	0.019769	0.218545	0.229979	0.0275193	0	0.0228239	0.0872674	0.2224	0.138122
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.9cc24acd-6188-40e5-bad4-b78f8ccb0b3a.fc.signal	0.259951	2.62879	3.46138	1.79724	0.462987	0.89664	0.877418	0.946205	0.991979	0.428107	0.146366	0.403782	0.748351	1.18532	0.545779	0.32526	0.377653	0.588769	0.276391	0	0	0	0	0.246141	0.61323	0.611343	0.610263	0.605628	0.425502	0	0	0	0	0	0	0	0.170765	0.577771	0.370909	1.51248	1.60111	0.398472	0.165585	0.529146	0.580107	0.941421	0.273163	0.591632	0.938674	0.688262	1.09981	1.2759	1.35169	1.49655	1.30425	1.41591	2.54125	1.31646	0.721055	1.24486	1.1064	0.58103	0.741317	0.491127	0.645821	1.32024	1.01877	0.680971	0.481477	0.461239	0	0	0	0.290242	0.32526	0.430682	0.73011	1.63204	0.332016
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004618.1.f3b6006d-3e3a-44fa-b4a9-49a87f36ab7f.fc.signal	0.717333	0.492291	0.477722	0.527534	0.639238	0.52154	0.377795	0.753275	0.552489	0.316194	0.167068	0.157705	0.304865	0.824471	0.657367	1.12942	1.7123	2.08573	0.619291	0	0	0.279949	0.350452	0.362687	0.35434	0.18752	0	0.0990437	0.112332	0.188804	0.133427	0.200402	0.2928	0.245365	0.132373	0.218404	0.700251	1.24304	0.580439	0.710404	0.276337	0.469079	0.542735	0.278506	0.0479928	0.811111	0.428118	0.493971	0.441478	0.301915	0.397776	0.718576	1.04507	0.925375	0.311417	0.361622	0.349068	0.237325	0.180439	0.0494946	0.1822	0.1822	0.364354	0.54637	0.406463	0.22775	0.21864	0.1822	0.279373	0.444947	0.64658	0.445108	0.782088	0.346126	0.25508	0.71006	0.798055	0.755508	0.257426
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000228.3.7281ed79-ca1f-4f34-ad6b-6aeb18d6b751.fc.signal	0.232906	0.143779	0.0555824	0.06362	0.101202	0.167252	0.371707	0.377699	0.279522	0.00610162	0	0.0720223	0.323938	0.280526	0.213592	0.2708	0.270567	0.258668	0.359575	0.281989	0.241414	0.178924	0.179095	0.178163	0.17775	0.110915	0.08872	0.154672	0.177494	0.177611	0.176427	0.176459	0.17647	0.16163	0.0842848	0	0.0371634	0.170241	0.266924	0.108851	0	0	0	0.0837169	0.186003	0.328635	0.312816	0.12454	0.0244166	0	0	0	0	0	0.0689669	0.110239	0.108029	0.107945	0.114282	0.110725	0.100052	0.062768	0.0638137	0.062926	0.0621268	0.162203	0.130777	0.24081	0.40718	0.447313	0.38652	0.341973	0.0785082	0.169654	0.35722	0.548764	0.692857	0.661189	0.550314
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.e09563f2-ad32-412b-91d3-8f5c1229dde6.fc.signal	1.66049	1.37398	0.866036	0.466835	0.493754	0.599494	0.620333	0.666756	0.442782	0.770594	0.819381	1.20197	1.82338	1.34933	0.740598	0.485616	0.354479	0.375258	0.414143	0.41582	0.343032	0.166003	0.207237	0.383912	0.41504	0.415781	0.41582	0.403571	0.20791	0.235631	0.41582	0.561357	0.62373	0.665314	1.03436	1.10193	0.881548	0.663929	0.655501	0.945011	1.45538	1.05515	0.864916	0.68943	0.861399	1.48284	0.755897	0.60498	0.531805	0.436551	0.32373	0.258145	0.185145	0.0677004	0.231527	0.586575	0.662728	0.796567	0.978676	0.818691	0.741204	0.538413	0.158002	0	0.185277	0.740107	0.827636	0.59144	0.683564	0.375095	0.373215	0.241523	0.164018	0.20791	0.395029	0.531725	0.581934	0.663886	0.567943
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001025.7.737b5bf1-d829-45ff-8c28-1667416be068.fc.signal	0.444102	1.34347	0.813758	0.472838	0.359248	0.510971	0.49649	0.396943	0.592386	0.555496	0.408702	0.891589	0.830677	0.28269	0.942259	1.3918	0.905482	0.574285	0.133662	0.0860455	0.343689	0.341544	0.351689	0.339716	0.33998	0.340409	0.614158	0.630495	0.677312	0.942529	0.878688	0.98123	1.02364	0.588252	0.289978	0	0.148045	0.455101	0.521777	2.12117	0.465911	0.384886	0.609675	0.234417	0.0933866	0.198799	0.215381	1.08162	1.70151	0.419236	0.20685	0.230254	0.386882	0.23365	0.416321	1.4079	1.62983	0.403515	0	0	0	0.061426	0.586133	0.63611	0.533463	0.16573	0.660512	0.668675	0.508627	0.107349	0.520501	0.865411	0.460589	0.0957823	0.298667	0.263386	0	0	0.728595
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004608.1.7e686e4a-008d-44af-95b1-78718b51ae70.fc.signal	0	0.21065	0.164414	0.692668	1.02813	0.898689	0.227591	0.0180655	0.340642	0.035067	0.345836	0.491813	0.639232	0.328423	0.413125	0.289366	0.351413	0.760492	1.13316	1.02261	0.138671	0.209545	0.251367	0.487436	0.498469	0.360246	0.24875	0.42919	0.46052	0.422624	0.298753	0.255949	0.512547	0.740762	1.18014	1.11378	1.10915	0.47655	0.352889	0.268408	0.0497638	0.0966163	0.110729	0.466546	0.775926	0.509834	0.326673	0.204012	0.2743	0.00596229	0	0	0.0176565	0.140268	0.277253	0.667537	0.303868	0.511958	0.315007	0.0365792	0.116226	0.25828	0.297021	0.508615	0.293649	0.112978	0	0	0.102016	0.515535	0.658604	0.508605	0.162569	0.464411	0.257146	0.235738	0.302454	0.50822	0.337363
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004606.2.9b49aaf7-72bf-4817-8334-370db5ccd844.fc.signal	0.243551	0.0731451	0.366426	0.526838	0.661717	0.57543	0.424943	0.127894	0.267329	0	0.167145	0.290101	0.298466	0.273954	0.153964	0	0	0.286303	0.548117	0.208923	0	0	0	0	0	0	0	0	0	0.08378	0.265292	0.28622	0.28622	0.465251	0.28622	0.214665	0	0	0.145018	0.323072	0.534291	0.543362	0.074431	0	0	0	0	0	0.0378636	0.455915	0.452192	0.259564	0	0	0	0.0313313	0.920237	1.12377	0.49681	0.418217	0	0	0.257069	0.26844	0.272476	0	0	0.179969	0.261925	0.163554	0	0	0	0.012567	0.369403	0.563075	0.223307	0	0.413163
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000983.7.0397ac10-5d52-43ec-8084-1b153343aa3a.fc.signal	2.31631	1.28806	0	0	1.07943	0.59434	0.596175	0	0	0	0	0	0	0	0	0	0	1.00947	2.47308	1.56088	0.159349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.839818	1.60266	0.66291	0	0	0	0.196543	3.03958	2.09181	2.1612	0.579615	0	0	0	0	0.383352	1.4607	1.80451	0.648571	0.61182	0.278821	0	0	0	0	0	0	0	0.009972	1.08452	1.22036	1.07336	0	0	0	0	0	0	0.0309135	1.22178	0.79765	0.650246
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.7414bb41-cf54-40da-9950-d1fdfeffed2f.fc.signal	0.169433	0.500078	0.579485	0.543314	0.433368	0.371248	0.471734	0.382805	0.233866	0.419651	0.747014	0.759648	0.491264	0.478691	0.31608	0.221256	0.068484	0	0	0	0	0.047412	0.242328	0.43461	0.47412	0.568944	0.63216	0.899052	0.826442	0.69603	0.540946	0.59617	0.536875	0.339155	0.280081	0.333482	0.268668	0.277097	0.48571	0.437244	0.28974	0.414855	0.651151	0.872967	0.63001	0.281531	0.218696	0.472732	0.767275	0.634806	0.89879	0.900421	0.48193	0.374697	0.396224	0.328437	0.330132	0.317296	0.400252	0.595179	0.734886	0.63216	0.529434	0.31608	0.208613	0.063216	0	0	0	0.121917	0.15804	0.186055	0.293233	0.47412	0.47412	0.280521	0.322402	0.31608	0.558491
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000980.8.986df781-84f6-4a4b-bb53-6b69b505dda3.fc.signal	0	0	0.0199064	0.207168	0.179	0.193526	0.202828	0.15262	0.187017	0.316363	0.333715	0.131653	0.48432	0.671888	0.365185	0	0.223867	0.462886	0.37836	0.368284	0.564362	0.29695	0.296278	0.073945	0	0	0	0.0977031	0.2919	0.291712	0.29127	0.19057	0	0	0	0	0	0.232333	0.0901825	0	0.23777	0.285778	0.27549	0.289151	0.116051	0.286526	0.665916	0	0.24375	0.514752	0.591053	0.108008	0	0.254307	0.596901	0.102312	0.248787	0.500512	0.303486	0.453375	0.231116	0.194278	0.0334965	0	0.194356	0.266695	0	0	0.107519	0.241189	0.179088	0.104549	0.209678	0.167158	0.402453	0.417359	0.184381	0.180314	0.747423
