	chr8:48728848-48728997	chr8:48728998-48729147	chr8:48729148-48729297	chr8:48729298-48729447	chr8:48729448-48729547	chr8:48729548-48729587	chr8:48729588-48729597	chr8:48729598-48729617	chr8:48729618-48729677	chr8:48729678-48729747	chr8:48729748-48729897	chr8:48729898-48730047	chr8:48730048-48730137	chr8:48730138-48730197	chr8:48730198-48730217	chr8:48730218-48730267	chr8:48730268-48730277	chr8:48730278-48730347	chr8:48730348-48730497	chr8:48730498-48730587	chr8:48730588-48730597	chr8:48730598-48730647	chr8:48730648-48730667	chr8:48730668-48730767	chr8:48730768-48730777	chr8:48730778-48730797	chr8:48730798-48730827	chr8:48730828-48730897	chr8:48730898-48730917	chr8:48730918-48730947	chr8:48730948-48730977	chr8:48730978-48731047	chr8:48731048-48731057	chr8:48731058-48731097	chr8:48731098-48731127	chr8:48731128-48731197	chr8:48731198-48731247	chr8:48731248-48731397	chr8:48731398-48731487	chr8:48731488-48731547	chr8:48731548-48731677	chr8:48731678-48731697	chr8:48731698-48731847	chr8:48731848-48731997	chr8:48731998-48732147	chr8:48732148-48732297	chr8:48732298-48732447	chr8:48732448-48732597	chr8:48732598-48732677	chr8:48732678-48732747	chr8:48732748-48732897	chr8:48732898-48733047	chr8:48733048-48733197	chr8:48733198-48733267	chr8:48733268-48733347	chr8:48733348-48733497	chr8:48733498-48733567	chr8:48733568-48733647	chr8:48733648-48733797	chr8:48733798-48733887	chr8:48733888-48733947	chr8:48733948-48733967	chr8:48733968-48734003	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000221.3.ee2442de-4362-4f9f-9331-9ed79b0e0f3c.fc.signal	0.809305	0.0415028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.933813	1.27967	0	0	0.973719	1.03757	0.608708	0	0	0	0	0	0	0.118579	0.740133	0.781636	0.0138343	0	0	0	0	0	0	0	0	0	0	0.76933
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004609.2.3aca4661-f677-47cf-b2b4-9335fbd4c1a8.fc.signal	0.222724	0.259494	0.54045	0.2262	0.0098886	0	0	0	0.136229	0.774647	1.36717	0.365048	0	0	0.044548	0.223061	0.26128	0.279754	0.406255	0.149904	0	0.293784	0.541223	0.435574	0	0	0	0	0	0	0	0.165266	0.3614	0.60548	0.713441	0.625908	0.566323	0.614391	0.190643	0.375754	0.543795	0.993593	1.09677	0.223684	0.357264	0.218278	0.664972	0.102246	0.185664	0.172689	0.431869	1.42477	0.938823	1.16042	0.969922	0.785488	0.623514	0.337267	0.924132	0.666678	0	0	0	0.72479
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001888.4.30f2e2fa-2f52-48ca-a898-c1b357672427.fc.signal	0.55427	0.475729	0	1.04908	1.08032	0	0	0	0	0	0	1.23656	2.32259	0.0263332	0	0	0	0	0	0	0	0.351618	1.38756	0.545111	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61936	0.890124	0	0	0	0.60593	0.834399	0.0218841	0.0519757	1.43921	0.215206	1.27393	1.42547	0.58744	1.24664	0.604677	1.41686	0.265633	0.871509	0	0	0	2.31623	0.832061	0	0	0.732673
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004615.1.138484bb-d1db-4537-b285-bd13fe5a9644.fc.signal	0.768122	0.83248	0.462346	0.16234	0.679877	0.52598	0.642863	0.77923	0.704553	0.898899	1.05846	1.03954	0.725118	1.20132	1.15911	1.00079	1.22627	0.861947	0.392881	0.626778	0.365443	0.381817	0.524347	0.807909	0.78402	0.644995	0.352815	0.0538354	0	0.058025	0.220434	0.686571	0.75391	0.95382	0.826075	0.636074	0.322791	0.26776	0.530019	0.343403	0.338502	0.264637	0.493947	0.435834	0.77242	0.731191	0.332415	0.393991	0.932643	1.27465	2.07927	2.30535	1.35426	0.890314	0.771925	1.51054	0.901709	0.297085	0.960072	0.992513	0.190762	0.169294	0.345378	0.52809
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004610.2.c8287f3a-ec01-4e9b-9790-466f356c7045.fc.signal	0.182546	0.493594	0.440027	0.144843	0	0	0	0	0.149828	0.447556	0.40359	0.218027	0.180322	0	0	0	0	0.00715429	0.406606	0.645006	0.49926	0.287112	0.12488	0.043708	0	0	0	0	0	0	0	0	0	0	0	0	0	0.678667	0.656298	0.143536	0.26654	0.493023	0.568898	1.14928	0.723756	0.249207	0.151828	0.183422	0.389082	0.338999	0.342904	0.552575	1.59927	2.29795	1.90096	1.25187	0.592063	0.111183	0.326277	0.394866	0.141514	0.17522	0.27359	0.696751
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.bb047498-09b9-4c13-b396-ee9ca79dcf59.fc.signal	0.62102	0.376175	0.610305	0.888272	0.735936	0.250031	0.251532	0.23955	0.361347	0.876734	0.49479	0.417842	0.492527	0.0818452	0	0.0305422	0.08983	0.367915	1.2037	0.072596	0.33448	0.34942	0.31109	0.414431	0.3593	0.3593	0.3593	0.372183	0	0	0.233563	0.366041	0.17966	0.251528	0.243544	0.681054	3.47834	3.80948	1.35172	0.279981	0.922368	1.5858	2.05134	0.987826	1.1988	1.99641	1.72563	2.9388	2.83073	3.41647	1.81824	2.2036	2.63066	2.87314	1.82464	1.17691	0.391875	1.06709	0.877125	0.530812	0.130433	0.233317	0.435139	0.303704
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.e09563f2-ad32-412b-91d3-8f5c1229dde6.fc.signal	0.956314	1.84082	1.06062	0.62933	0.876029	0.622098	0.64747	0.715861	0.629964	0.817735	1.64501	1.22801	0.924242	0.674812	0.656318	0.541615	0.233028	0.25989	0.234681	0.952124	1.62954	1.4827	1.71542	1.39803	0.911247	0.677003	0.580444	0.565543	0.397588	0.619322	0.708319	0.638377	0.53128	0.524274	0.749047	0.769795	0.887497	0.764597	0.821954	0.613797	0.670406	1.34239	1.45453	1.62289	1.49196	1.65575	0.668767	0.892296	1.31262	1.24986	0.720705	0.732236	1.03147	0.707373	0.853789	0.668271	0.458741	0.263959	0.799355	1.32513	1.10151	0.766198	0.708561	0.42449
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004608.1.7e686e4a-008d-44af-95b1-78718b51ae70.fc.signal	2.19979	1.11227	0.622819	0.403795	0.251531	0.050308	0	0	0.359743	1.5877	2.04824	0.414896	1.00935	0.483207	0.393472	0.580436	0.77483	0.605104	0.65258	0.534687	0.17004	0.268635	0.620361	1.19984	0.76508	0.898976	0.451766	0.346124	0.012914	0	0.232452	0.257959	0.25828	0.051656	0.060179	0.355531	0.811267	0.474563	0.666411	0.002834	0.332261	0.412556	0.0286726	0	0	0.221791	0.84843	0.534696	0.305141	0.261662	0.447826	1.13639	1.1456	0.767055	0.155612	0.593796	0.644423	0.477459	0.500589	0.550991	0.249668	0.96854	1.26986	0.466667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000964.7.f15be373-5bad-4963-a06f-42b469a3cf40.fc.signal	0.117645	0.228716	0	0.657182	0.139739	0	0	0	0	0	0	0	0	0	0	0	0	0.377794	0.460738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.647255
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.a94a6b89-542c-4e29-9116-4cbe6008554d.fc.signal	1.28497	0.68042	1.27807	1.1517	1.38031	0.976162	0.986438	0.777772	0.571274	0.58342	1.12165	0.542199	0.621085	0.931622	1.1214	1.05774	0.948522	0.383928	0.500598	0.827145	1.23597	0.845514	0.729555	1.45188	1.8495	1.3666	1.47956	1.13917	0.63236	0.652362	0.431571	0.610629	0.6165	1.12263	0.925811	0.6171	0.662275	0.71527	1.00427	0.772632	0.588296	0.798391	0.827903	1.4159	1.01101	1.0441	1.1976	1.94775	1.90798	1.95976	1.63517	1.81288	1.65697	0.735997	0.784129	1.29058	0.947026	0.470348	1.22081	0.8753	0.056749	0	0.367632	0.395349
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000992.7.c608e076-b4cb-49e5-bf4c-ab19d04cc659.fc.signal	0.362983	0.793885	0.927691	0.392112	1.02871	0.763481	0.599755	0.65092	0.280614	0.257899	0.544768	0.614199	0	0.10014	0.20028	0.268375	0.40056	0.214586	0.606186	0.422466	0.344596	0.344983	0.170238	0.191445	0	0	0	0	0	0	0	0	0	0	0	0.0211234	0.354649	0.898634	0.882933	0.0269905	0.142982	0.097949	0.0935738	0.169161	0.00816387	0.422166	0.691133	0.106121	0.640834	0.510144	0.166541	1.27498	0.706531	0.389177	0.004038	0.0635131	0.164713	0	0.254705	0.270583	0	0	0	0.684411
