	chr12:85049677-85049826	chr12:85049827-85049976	chr12:85049977-85050026	chr12:85050027-85050126	chr12:85050127-85050276	chr12:85050277-85050336	chr12:85050337-85050426	chr12:85050427-85050576	chr12:85050577-85050726	chr12:85050727-85050836	chr12:85050837-85050876	chr12:85050877-85050936	chr12:85050937-85050946	chr12:85050947-85051026	chr12:85051027-85051106	chr12:85051107-85051176	chr12:85051177-85051326	chr12:85051327-85051346	chr12:85051347-85051476	chr12:85051477-85051536	chr12:85051537-85051586	chr12:85051587-85051626	chr12:85051627-85051686	chr12:85051687-85051776	chr12:85051777-85051926	chr12:85051927-85051936	chr12:85051937-85052076	chr12:85052077-85052216	chr12:85052217-85052226	chr12:85052227-85052296	chr12:85052297-85052326	chr12:85052327-85052376	chr12:85052377-85052426	chr12:85052427-85052436	chr12:85052437-85052526	chr12:85052527-85052546	chr12:85052547-85052576	chr12:85052577-85052676	chr12:85052677-85052806	chr12:85052807-85052826	chr12:85052827-85052976	chr12:85052977-85053006	chr12:85053007-85053056	chr12:85053057-85053106	chr12:85053107-85053126	chr12:85053127-85053276	chr12:85053277-85053426	chr12:85053427-85053516	chr12:85053517-85053536	chr12:85053537-85053576	chr12:85053577-85053596	chr12:85053597-85053696	chr12:85053697-85053726	chr12:85053727-85053876	chr12:85053877-85053936	chr12:85053937-85054006	chr12:85054007-85054026	chr12:85054027-85054176	chr12:85054177-85054326	chr12:85054327-85054476	chr12:85054477-85054626	chr12:85054627-85054751	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.982b1a46-0bf8-457b-a213-1cec9bf76346.fc.signal	0.314793	0.440118	0.680604	0.691909	0.394037	0.330959	0.392006	0.227954	0	0	0.137356	0.373733	0.56843	0.772366	0.838675	0.498542	0.154496	0.109886	0.200866	0.66177	0.92081	0.817114	0.56843	0.327924	0.0941417	0.28917	0.616105	0.217919	0	0.0272321	0.329071	0.28917	0.320663	0.37665	0.1674	0	0	0	0.196444	0.374854	0.207461	0	0	0	0	0.245439	0.150368	0	0	0.0433778	0.318103	0.958136	1.41548	0.807053	0.187829	0.575748	1.05464	0.908903	0.0998987	0.366617	0.349901	0.202332	0.645161
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000231.3.24a1fcd8-2a4a-4091-be70-d4c06c7ee2cc.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134323	0.32423	0.32423	0.127198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.096144	0.355914	0.672844	1.04684	0.704762	0.277036	0	0	0	0	0	0	0.25
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000236.3.0bc39444-c5d6-4c2e-a719-a28af7034202.fc.signal	0	0.203087	0.310724	1.80974	2.1794	1.74676	0.264014	0	0	0	0.121852	0.477305	0.60935	0.643621	1.4129	1.6713	1.14761	0.487462	0.0679559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0832655	0.348639	1.0054	1.21938	1.08675	1.35221	2.12378	2.49431	2.49386	1.25484	0.596146	0.357148	0	0	0	0	0.57384
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004614.1.954b2eef-b887-4e5e-9bfd-a189bb44a099.fc.signal	0.50478	0.239207	0.905616	0.551925	0.315866	0.722379	0	0.489408	0.496948	0.00514973	0.976209	0	2.51779	0	0	0	0.104336	1.61675	0.263441	0	1.3773	0	1.52842	0.382583	0.778741	2.05484	0	0	3.25	0	1.09116	0	0	3.26666	0	0	2.18339	0	0	1.61675	0.432233	1.08333	0	1.31344	0	0.332785	0.560746	0.444677	4.66043	0	3.31771	0	1.81779	0.432033	0	0	2.37434	0.479795	0.348394	0.415324	0.314726	0	0.408696
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000221.3.ee2442de-4362-4f9f-9331-9ed79b0e0f3c.fc.signal	1.65319	0.159094	1.43184	1.45259	1.95754	1.03757	0	0	0	0	0	0	0	0	0	0.0296449	0.781636	0	0.287327	1.03757	0.539536	1.14133	2.07513	1.15285	0.511868	0	0.85229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.570014	0.82944	0.407309	0.43722	0.326886	0.42247	0.309906	0.112297	0.347104	0.208902	0.0759687	0.15158	0.478575	0.545481	0.517533	0.318188	0	0.361809
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004617.2.88e56c75-286f-4a1a-b576-b35887e484d4.fc.signal	0.301826	0.564543	0.55432	0.460513	0.250209	0.127153	0.0288078	0.29025	0.51542	0.330367	0.557711	0.659778	0.741723	0.469387	0.183061	0.149808	0.313578	0.192426	0.132649	0.302659	0.334302	0.278787	0.245407	0.241639	0.427015	0.422528	0.133472	0.204239	0.3283	0.214094	0.191037	0.169768	0.149488	0.184172	0.170819	0.202764	0.199136	0.170497	0.273014	0.24798	0.214712	0.185347	0.222361	0.589775	0.736476	0.797844	0.575399	1.2593	1.32465	1.09823	0.872593	0.289289	0.184008	0.243167	0.14662	0.011861	0.148146	0.414467	0.359225	0.591611	0.438185	0.43733	0.212435
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.dc1d2dc3-279f-44dc-a6f1-0d5154726fd5.fc.signal	0.192413	0.207037	0.143535	0.243313	0.286881	0.423889	0.455824	0.472376	0.347471	0.21414	0.176837	0.180431	0.203878	0.155364	0.274582	0.330607	0.344567	0.311027	0.18697	0.0893417	0.153437	0.145615	0.145898	0.153275	0.271622	0.27181	0.268557	0.212617	0.31135	0.429129	0.537069	0.56036	0.495806	0.54489	0.401012	0.219363	0.150062	0.0890738	0.0813633	0.160568	0.165857	0.323364	0.240276	0.167948	0.167617	0.133713	0	0.00678889	0.087106	0.086554	0.086266	0.142298	0.169818	0.125076	0.064595	0.0815951	0.08112	0.176027	0.24921	0.176375	0.150702	0.117099	0.385305
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003691.3.6671b082-a817-48d2-abb0-2b33e6b6a3bd.fc.signal	0.703939	0.463708	0.1549	0.135131	0.225487	0.288469	0.387932	0.375416	0.405478	0.53081	0.371678	0.17057	0.099195	0.0515677	0.0687176	0.145222	0.111764	0.082472	0.0122918	0	0.0528076	0.105778	0.229235	0.366047	0.905481	0.99202	0.739605	0.0726138	0	0	0	0.113696	0.118489	0.223216	0.24803	0.24803	0.26869	0.259186	0.249937	0.24803	0.0958639	0	0.0024792	0.257912	0.37199	0.441413	0.25293	0.0316787	0	0	0	0.127713	0.380274	0.694402	0.698534	0.619984	0.49596	0.613369	0.683266	0.439603	0.553867	0.457308	0.325532
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003696.3.e00c0d9c-ba65-4ccf-bfd6-bf0790f0d972.fc.signal	0.476235	0.358279	0.217659	0.263674	0.381488	0.787413	0.96774	0.92195	0.674391	0.525838	0.484402	0.380839	0.38415	0.2023	0.148385	0.150574	0.26639	0.29121	0.380094	0.344615	0.38831	0.38831	0.221677	0.0971	0.071854	0.0971	0.358505	0.494426	0.63106	0.489571	0.355943	0.29121	0.335876	0.35918	0.34947	0.29121	0.29121	0.467932	0.584751	0.67961	0.682847	0.637533	0.651702	0.581058	0.578598	0.576479	0.692557	0.613798	0.38831	0.298492	0.29121	0.40773	0.58251	0.832978	0.893152	0.82938	0.830065	0.68565	0.370606	0.259551	0.41344	0.405958	0.216749
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003683.3.337d4e8a-e984-41f8-aa57-60f7eb5f2a93.fc.signal	0.10555	0.267147	0.507827	0.522712	0.528842	0.498782	0.585753	0.590264	0.655713	0.691563	0.545803	0.370939	0.402052	0.726982	0.528564	0.404113	0.255935	0.444484	0.480846	0.546295	0.486467	0.505322	0.379125	0.306092	0.598865	0.682452	0.506969	0.204947	0.33757	0.33757	0.33757	0.2498	0.310562	0.33757	0.339445	0.5063	0.5063	0.568773	0.767302	1.17301	0.944054	0.770758	0.648129	0.73251	0.5063	0.671753	0.650375	0.930619	0.851591	0.724191	0.948205	0.759513	0.91141	0.630085	0.239111	0	0.0928015	0.497335	0.611956	0.592469	1.19948	1.17473	0.387363
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003685.2.e68f52c1-41a1-4e05-8c93-7ca09c5fb4fe.fc.signal	0.085439	0.22198	0.217843	0.206624	0.246338	0.173989	0.293549	0.20605	0.423148	0.652399	0.744897	0.649365	0.795631	0.850936	0.638414	0.667695	0.328261	0.259494	0.144635	0.25646	0.25646	0.294932	0.267147	0.331979	0.291512	0.3847	0.282108	0.170363	0	0	0.0555663	0.223123	0.51293	0.51293	0.692452	0.89762	0.89762	0.828376	0.847315	0.64116	0.469302	0.12823	0.038469	0	0	0.303482	0.581885	0.651762	0.51293	0.51293	0.628337	0.614232	0.683903	0.897624	1.07715	1.01973	0.781754	0.473485	0.4841	0.503526	0.365891	0.197988	0.580488
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003695.3.08f241da-4ea3-4efd-8a07-63057f4f6ca8.fc.signal	0.379105	0.257165	0.278999	0.203516	0.225451	0.191318	0.167296	0.125083	0.171565	0.181675	0.131698	0.134724	0.136592	0.013089	0.0573891	0.0782281	0.157277	0.193901	0.100216	0.0540003	0	0	0	0	0	0	0	0.0971694	0.16428	0.189416	0.191972	0.189708	0.11998	0.09572	0.0491352	0	0	0	0	0	0.00338333	0.200069	0.267661	0.308923	0.400587	0.434255	0.313839	0.273782	0.300521	0.306317	0.288785	0.337168	0.369038	0.325771	0.148611	0.141041	0.091224	0.120469	0.122697	0.0483827	0.0738105	0.298135	0.256604
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.a94a6b89-542c-4e29-9116-4cbe6008554d.fc.signal	0.023016	0.572265	0.779246	0.875073	0.603158	0.821712	0.631934	0.415456	0.809151	0.225574	0.331369	0.616957	0.621154	0.454831	0.916459	1.52968	1.28579	0.356642	0.454818	0.884809	0.846126	0.310961	0.603632	0.30825	0.34668	0.516783	0.715838	0.249706	0	0.530952	0.87821	0.949558	1.24094	1.03412	0.901628	0.87821	0.712324	0.50031	0.284663	0.213615	0.281131	0.285951	0	0	0	0.484398	0.444848	0.53454	0.36991	0.36991	0.568745	0.388413	0.822518	2.25258	2.40793	1.195	1.17259	0.35746	0.287856	0.0114972	0.654055	0.770041	0.708955
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003684.3.803d7f5d-192e-4b5b-9ea2-f9b8994e9342.fc.signal	0.130788	0.0067082	0.101375	0.100502	0.245447	0.366849	0.407619	0.279108	0.209706	0.408017	0.312197	0.418547	0.333875	0.280448	0.204737	0.27743	0.480995	0.27743	0.14832	0	0	0	0	0.296862	0.408802	0.298914	0.315047	0.463831	0.41627	0.158538	0.04624	0	0	0	0.0123307	0.13872	0.13872	0.409296	0.829966	0.84362	0.588455	0.753607	0.593832	0.585508	0.41627	0.420887	0.343772	0.126882	0.087557	0.115074	0.25062	0.328482	0.568862	0.638222	0.631286	0.313132	0.27743	0.291334	0.845397	0.81608	0.151687	0	0.296774
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000992.7.c608e076-b4cb-49e5-bf4c-ab19d04cc659.fc.signal	0.195326	0.29387	0.207358	1.06838	0.917775	0.257026	0.200149	0.186928	0.432607	0.142017	0.40056	0.874566	1.38194	1.66735	0.927327	0.558754	0.738909	0.45383	0.0357402	0	0	0	0	0.180252	0.0453968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104146	0.20028	0.0921288	0	0	0	0.090126	0.320448	0.608859	0.520734	0.447296	0.491459	0.219955	0.20028	0.229274	0.311104	1.11013	0.0333803	0	0.640411
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003694.3.a7c0537c-0a7d-415e-ae83-a8d9e779153a.fc.signal	0.28427	0.406465	0.370794	0.321781	0.385001	0.46882	0.545773	0.717439	0.759019	0.44426	0.232253	0.172313	0.088793	0.0704266	0.135796	0.162757	0.190165	0.171622	0.0987531	0.0401225	0.070844	0.0883188	0.12752	0.213083	0.375056	0.402831	0.402292	0.267136	0.10655	0.10655	0.0887917	0	0	0	0.0177583	0.10655	0.10655	0.209904	0.282767	0.31965	0.214521	0.2131	0.174742	0.119336	0.2131	0.245775	0.437565	0.531566	0.51144	0.4262	0.4262	0.355877	0.387132	0.348774	0.4262	0.392713	0.4262	0.321781	0.106355	0.1618	0.320568	0.341812	0.271719
