	chr9:1049161-1049310	chr9:1049311-1049410	chr9:1049411-1049460	chr9:1049461-1049540	chr9:1049541-1049610	chr9:1049611-1049640	chr9:1049641-1049750	chr9:1049751-1049760	chr9:1049761-1049790	chr9:1049791-1049910	chr9:1049911-1050020	chr9:1050021-1050050	chr9:1050051-1050060	chr9:1050061-1050170	chr9:1050171-1050210	chr9:1050211-1050230	chr9:1050231-1050310	chr9:1050311-1050320	chr9:1050321-1050360	chr9:1050361-1050500	chr9:1050501-1050510	chr9:1050511-1050520	chr9:1050521-1050560	chr9:1050561-1050590	chr9:1050591-1050640	chr9:1050641-1050660	chr9:1050661-1050810	chr9:1050811-1050960	chr9:1050961-1051030	chr9:1051031-1051110	chr9:1051111-1051260	chr9:1051261-1051410	chr9:1051411-1051560	chr9:1051561-1051710	chr9:1051711-1051860	chr9:1051861-1052010	chr9:1052011-1052160	chr9:1052161-1052310	chr9:1052311-1052440	chr9:1052441-1052460	chr9:1052461-1052540	chr9:1052541-1052610	chr9:1052611-1052760	chr9:1052761-1052910	chr9:1052911-1053060	chr9:1053061-1053210	chr9:1053211-1053310	chr9:1053311-1053360	chr9:1053361-1053460	chr9:1053461-1053510	chr9:1053511-1053660	chr9:1053661-1053810	chr9:1053811-1053960	chr9:1053961-1054110	chr9:1054111-1054260	chr9:1054261-1054410	chr9:1054411-1054450	chr9:1054451-1054520	chr9:1054521-1054560	chr9:1054561-1054630	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004615.1.138484bb-d1db-4537-b285-bd13fe5a9644.fc.signal	1.04811	0.712995	0.997417	1.07877	0.417446	0	0.180256	0.481811	0.47421	0.417103	0.867655	0.896755	0.657614	0.734955	0.56494	0.38962	0.0998401	0	0.0876645	0.297781	0.38962	0.38962	0.331177	0.38962	0.284423	0.19481	0.0350658	0.773816	0.520935	0.322199	0.437177	0.746137	0.659468	0	0.233769	0.27273	0.571437	0.841569	0.12288	0	0.442952	0.496862	0.0989576	0.13377	0.443375	0.390917	0.294163	0.674033	0.804555	0.358449	0.480526	1.00131	1.13508	0.777931	0.655852	0.723388	0	0	0	0.328394	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003404.1.74b350f6-e337-49cb-b533-051914db11db.fc.signal	0	0	0	0	0.654794	0.971665	1.03916	0.4177	0.380131	0.126408	0.222531	0.656304	0.44799	0.306418	0.0089595	0	0	0	0	0	0	0	0.254363	0.336316	0.355782	0.38785	0.212255	0.602469	0.376306	0.166126	0.357975	0.437018	0.378304	0	0	0	0.152108	0.534111	0.670772	0.779484	0.400803	0.550873	1.86934	0.406466	0.754539	1.02413	1.61783	1.77147	1.08574	0	0.324708	0.649817	0.880677	0.199935	1.45462	2.94328	3.51337	2.55365	1.69869	2.27964	0.163934
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004604.3.90b22b5d-3f31-4944-a92b-e05b092bb019.fc.signal	0.224978	0	0	0	0	0	0	0.236358	0.57954	0.880627	1.01947	0.940555	0.79856	0.367523	0	0	0	0	0	0.044664	0.46311	0.47859	0.404822	0.450248	0.60611	0.297744	0.687999	0.835266	0.544702	0.0403297	0.178526	1.01127	0.119786	0.0231648	0.53374	0.388858	0.372736	0.329913	0.482184	0.152247	0.123381	0.0878054	0	0	0.201344	0.330723	0.341683	0.0325136	0	0	0.0197209	0.649015	0.680814	1.84019	0.3999	1.04909	0.122601	0.271779	0.271862	0.352866	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003730.1.aa91ddbb-920b-4389-adfc-bc95d87573a2.fc.signal	0.530955	0.364523	0.113012	0.272877	0.822344	0.854026	0.59377	0.55402	0.531856	0.517402	0.413872	0.325296	0.31161	0.128106	0	0	0.447183	1.06216	1.12305	1.20542	0.541415	0.594497	0.594715	0.441029	0	0	0.0221577	0.482899	0.178487	0.356869	0.572361	0.260903	0	0	0	0	0.266979	0.493056	0.424237	1.24406	1.24857	0.709362	0.849047	1.0975	0.552175	1.39171	1.72652	1.03208	0.820572	1.22773	0.885934	0.51825	0.614884	1.08228	1.42452	0.373968	0.64474	0.591709	0.476748	0.47481	0.567347
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003396.1.4bb6cf38-793d-41e7-af37-1f5641085d37.fc.signal	1.63854	1.89786	0.008849	0.334197	1.75267	1.54856	0.387355	0.78084	0.78084	1.27154	0.789766	0.93114	1.40551	0.873329	0	0.271791	0.807485	0.66365	0.066365	1.00369	0.66365	0.66365	0.580694	1.85816	2.914	2.19193	0.595703	1.49534	0.639328	0	0.308235	0.80052	0	0.805079	0	0	0	0.569169	0.957884	0	0.357531	2.15309	0.337069	0.657767	0.728156	1.37323	0.418101	0	1.58572	1.19417	1.60187	1.94681	1.1486	2.97521	1.90892	1.80612	1.46429	1.4029	0.845848	1.50122	0.46063
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004618.1.f3b6006d-3e3a-44fa-b4a9-49a87f36ab7f.fc.signal	1.26465	0.73978	0.362112	0.421487	0.55509	0.3644	0.441935	0.72857	0.69213	0.60857	0.652932	0.765012	0.837896	0.818019	0.555543	0.3644	0.414407	0.540334	0.683579	0.299052	0.430892	0.37955	0.317418	0.388031	0.460092	0.733292	0.497694	0.363543	0.781134	0.639114	0.697511	0.722208	0.434739	0.127508	0.980007	0.82089	0.389992	0.299983	0.552016	0.448027	0.493106	0.507741	0.212488	0.223241	0.587433	0.0697077	0.23972	0.090222	0.0661738	0.735129	1.48881	0.682602	0.585869	0.540191	0.670889	1.34259	0.131376	0.512994	1.32379	1.14565	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003402.2.d3186b4d-954d-4e57-a34d-97e0da3e61a0.fc.signal	1.73065	1.19171	1.06865	0.586414	0.518296	0.368692	0.338386	0.301246	0.311998	0.256938	0.231632	0.29302	0.29302	0.0975134	0	0	0	0	0.156979	0.525714	0.80578	0.949498	0.860401	0.799121	1.04938	1.07907	0.502639	0.0306201	0.236523	0.581508	0.446693	0.3934	0.393333	0.227462	0	0.231035	0.323005	0.511639	0.972424	1.37789	1.03481	0.707359	0.90213	0.895553	0.790807	0.360638	0.496373	0.499498	0	0	0	0	0.447799	0.543585	0.496541	1.46946	2.57158	1.8986	1.67641	1.01306	0.125436
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000228.3.7281ed79-ca1f-4f34-ad6b-6aeb18d6b751.fc.signal	0.258998	0.1721	0.1721	0.0994187	0.0162389	0.0877493	0.279767	0.35547	0.355976	0.313649	0.116173	0.179956	0.17395	0.150798	0.126275	0.145313	0.0548779	0.10416	0.141506	0.163539	0.14117	0.14117	0.154256	0.090707	0.0643668	0.061095	0.0635709	0.142845	0.369842	0.368389	0.411677	0.400195	0.16405	0.175685	0.26774	0.241541	0.154625	0.119186	0.135846	0.208502	0.285274	0.418045	0.405681	0.15879	0.329496	0.63238	0.576153	0.659669	0.396347	0.274982	0.703865	0.811387	0.0736332	0	0	0	0	0	0	0	0.528889
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000238.3.bd79aee4-cb3e-4358-b4aa-2b3125cb6682.fc.signal	0.650086	0.394559	0.186882	0.0619203	0.110089	0.303527	0.414199	0.38127	0.296143	0.369359	0.427648	0.237263	0.2421	0.152637	0.11906	0.103547	0.108499	0.076896	0.084583	0.160905	0.20307	0.21767	0.201251	0.165046	0.232777	0.193997	0.349645	0.286955	0.413457	0.524435	0.489832	0.207769	0.234869	0.407299	0.164889	0.235492	0.302472	0.32022	0.385969	0.405016	0.237428	0.20125	0.272374	0.453701	0.425951	0.399653	0.477673	0.801956	0.691521	0.695876	1.2146	1.09335	0.619603	1.03357	1.39961	0.527646	0.25206	0.235256	0.16804	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003696.3.e00c0d9c-ba65-4ccf-bfd6-bf0790f0d972.fc.signal	2.13971	1.91742	1.5009	0.627397	0.367503	0.508067	0.43999	0.374952	0.391319	0.382457	0.337488	0.541025	0.60706	0.58328	0.58002	0.729107	0.623138	0.59931	0.490215	0.604619	0.419536	0.423268	0.436176	0.438991	0.420952	0.390547	0.407169	0.319532	0.194952	0.149041	0.25569	0.322479	0.253406	0.366948	0.495767	0.362417	0.335883	0.385721	0.279296	0.29121	0.382241	0.546444	0.464695	0.34947	0.169586	0.0265407	0.074767	0.178632	0.29121	0.29121	0.163123	0.0971	0.149534	0.417445	0.403199	0.142412	0.34221	0.507604	0.589792	0.76141	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004608.1.7e686e4a-008d-44af-95b1-78718b51ae70.fc.signal	0.684179	0.278938	0	0.432611	0.634621	0.51655	0.230101	0.25828	0.257308	0.269041	0.335408	0.762017	0.77483	0.58798	0.47781	0.25828	0.0677985	0	0.01093	0.572841	0.57381	0.295104	0.238006	0.128979	0.447491	0.482344	0.272911	0.217771	0.044153	0.539746	0.626978	1.54757	0.513109	0.432182	0.39086	0.230728	0.215231	0.0654309	0.152981	0	0.15174	0.245706	0.507318	0.651785	0.576818	0.45466	0.289272	0.985775	1.45235	0.739763	0.69638	0.174917	0.423536	1.64443	0.191281	0.678708	0.206624	0.228762	0.25828	0.0479663	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000709.3.a821fd7c-44ed-4d61-9142-fdff92927929.fc.signal	0.837399	0.319164	0.188223	0.81844	1.10581	0.81844	0.629974	0.572848	0.873157	1.99434	1.56075	2.28223	2.25563	1.16807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.542898	0.248259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0730992	1.38005	1.95092	0.708859	0.936775	0.0220267	0.425401	0.333399	1.27459	0.511867	0.641647	1.27666	1.18397	0.127572
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000784.3.0c5be813-07c9-46d8-a028-5fb001a00a5b.fc.signal	1.30304	0.214446	0	0.013704	0.618312	0.728739	0.844232	0.94018	0.693258	0.811373	1.47027	1.21812	1.13285	0.974437	0.388096	0.319147	0	0	0	0	0	0	0	0	0	0	1.26035	1.2693	1.05041	1.24635	1.09144	1.35699	0.565209	0	0	0	0	0.0584704	0.473593	0.27267	0.0695386	0	0.175719	1.83865	1.49991	0.794285	0.53514	0.154147	0.844123	0.741652	0.263135	0.522011	0.34169	0.0516858	1.24965	0.491668	0.451122	0.465871	0.207682	0	0.524752
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003401.1.dfa9d4a9-0f86-41c6-822f-1f52d8db067a.fc.signal	0.626418	0.350824	0	0.311856	0.90705	0.348347	0.498936	1.03952	0.999496	1.65633	0.698446	0.602349	0	0	0	0	0	0	0	0	0.326575	0.65315	0.737486	0.79159	0.4463	0	0.0181425	0.438029	0.205274	1.50032	0.226922	0	1.72244	0.378238	0.671649	0.479496	1.01546	0.501241	0.431723	0.65315	0.125147	0	1.1415	1.45986	1.6556	0.408109	0.526394	0.987723	0.0687022	0.0785168	0.479087	1.33604	0.057127	0.515206	0	0.161827	0.760721	0.418412	0	0	0.516129
