	chr2:74557198-74557347	chr2:74557348-74557397	chr2:74557398-74557497	chr2:74557498-74557547	chr2:74557548-74557607	chr2:74557608-74557647	chr2:74557648-74557737	chr2:74557738-74557797	chr2:74557798-74557877	chr2:74557878-74557947	chr2:74557948-74557987	chr2:74557988-74558017	chr2:74558018-74558097	chr2:74558098-74558247	chr2:74558248-74558397	chr2:74558398-74558417	chr2:74558418-74558547	chr2:74558548-74558627	chr2:74558628-74558697	chr2:74558698-74558847	chr2:74558848-74558907	chr2:74558908-74558997	chr2:74558998-74559017	chr2:74559018-74559027	chr2:74559028-74559097	chr2:74559098-74559107	chr2:74559108-74559147	chr2:74559148-74559297	chr2:74559298-74559447	chr2:74559448-74559517	chr2:74559518-74559597	chr2:74559598-74559667	chr2:74559668-74559677	chr2:74559678-74559747	chr2:74559748-74559817	chr2:74559818-74559857	chr2:74559858-74559897	chr2:74559898-74559967	chr2:74559968-74560047	chr2:74560048-74560197	chr2:74560198-74560347	chr2:74560348-74560407	chr2:74560408-74560497	chr2:74560498-74560527	chr2:74560528-74560647	chr2:74560648-74560737	chr2:74560738-74560797	chr2:74560798-74560947	chr2:74560948-74560957	chr2:74560958-74561097	chr2:74561098-74561157	chr2:74561158-74561247	chr2:74561248-74561397	chr2:74561398-74561547	chr2:74561548-74561697	chr2:74561698-74561847	chr2:74561848-74561907	chr2:74561908-74561997	chr2:74561998-74562047	chr2:74562048-74562147	chr2:74562148-74562209	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.6e93a1e0-8828-4ce5-83f8-36249902bda2.fc.signal	0.265628	0.531123	0.250514	0	0	0	0.372897	0.408755	0.241593	0.2737	0.29936	0.479048	0.399959	0.176781	0.209677	0.36285	0.0908681	0	0	0.17457	0.0681873	0	0	0	0	0	0	0	0.0496927	0.203595	0.256145	0.162919	0	0	0.034212	0.259444	0.469722	0.812901	0.429874	0.149164	1.02495	0.483413	0.00920733	0	0	0	0	1.16858	1.24317	0.124314	0	0.349879	0.245836	0.43368	0.453965	0.00399147	0.296937	0.699173	0.964059	1.84482	2.35262	0.25
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003715.2.f2f63871-d4ff-46d8-b566-9462262914af.fc.signal	0.893157	0.707356	0.406474	0.767031	0.43531	0	0.458786	1.40964	0.751855	0.0612163	0.727455	0.650117	0.386074	0	0	0	0	0.570593	1.55539	0.400883	0.0799875	0.660413	1.26168	1.5376	0.817635	0	0	0.57488	0.406719	0.575954	0.0570143	0	0	0.825714	1.19556	0.829995	0	0	0.537799	0.740285	0.850589	0.0337733	1.07971	1.59231	1.16318	2.22095	2.38606	0.655573	0.78264	0.61851	0.136908	0.722037	0.206145	0.47177	0.495891	1.34489	2.44183	0.58263	0	0	0.204587	0.429158
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001958.3.f473421b-0068-43e9-8689-afd1d3e0454e.fc.signal	0	0	0.035978	0.28154	0.22054	0	0.166423	0.244001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0560639	0.681264	1.31348	0.283506	0.566834	0	0.178824	0.47576	0.348582	0.271093	0.352556	0.513129	0.494048
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004614.1.954b2eef-b887-4e5e-9bfd-a189bb44a099.fc.signal	0.152842	0	0	0	1.14632	0	0.765166	0	1.07548	0	0	2.2955	0	0.459099	0.688649	1.72162	0	0	0.545857	0	1.14158	0	0	10.327	0	3.44324	0	0.573588	0	0	0.788898	0	3.44324	0	0	1.72162	0	0.32752	2.06595	0.0459099	0.114489	0.573874	0.765166	1.14775	0	0	0	0.0761353	3.44324	0	1.14775	0.765166	0	0	0	0	0	0	0	0.283111	0.160195	0.425532
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001236.5.b3e823f8-bdfb-415e-8681-ed2acdcbeb38.fc.signal	0.576429	1.00011	0.516419	0.198652	0.116137	0.26676	0.794374	0.451217	0.073657	0.210458	0.342498	0.390345	0.646776	0.689313	0.612499	0.55843	0.921069	0.70552	0.424562	0.30614	0.440608	0.599758	0.919692	1.12927	0.88519	0.498458	0.429092	0.616991	0.346158	0.0175581	0.201502	0.512994	0.529086	0.317199	0.17628	0.352223	0.339385	0.235299	1.14161	1.34588	0.826692	0.192773	0.390117	1.24928	1.03448	0.766452	0.584782	0.758547	0.75226	1.14373	0.893556	1.13539	0.556963	1.17104	0.713227	1.29057	1.64822	0.75846	0.418138	1.34662	1.38649	0.397138
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001935.1.91e9ef78-52b0-44be-b463-2c4d06233b83.fc.signal	0.184073	0	0.0780108	0.230515	0.341444	0.217778	0.0411452	0	0	0	0	0	0	0.269908	0.367049	0.285209	0.421044	0.034231	0.16768	0.175327	0.28645	0.67943	0.399331	0.323913	0.162195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135125	0.17832	0	0	0	0	0.109812	0.242282	0.0409446	0	0	0	0	0.140969	0.543377	0.479826	0.256235	0.493276	0.213573	0.0946342	0.293832	0.328931	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003716.2.79f94066-2988-40f9-a746-bdd6578c3873.fc.signal	0.206594	0.307161	0.12855	0	0.0226413	0.335123	0.310743	0.100781	0	0	0.135817	0.291021	0.264762	0.305628	0.203571	0.694555	0.452334	0	0	0	0	0.2093	0.370605	0.489809	0.634421	0.62116	0.652452	0.54325	0.564508	0.647853	0.775694	0.804314	0.70859	1.12133	0.604749	0.589773	0.333752	0.273898	0.417273	0.435357	0.628029	0.079371	0	0.317652	0.540787	0.613219	0.334344	0.0141716	0.248464	0.731031	1.02523	0.570809	0.211184	0.324405	0.13799	0.461186	0.147076	0.553094	0.719188	0.965015	1.00951	0.86372
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001889.4.0a4412db-98d2-49c5-9fe7-7e089d81032b.fc.signal	0.491549	0	0.568179	0.339147	0.909113	1.00599	1.54393	1.05419	0.0233815	0.938798	0.612729	0.94158	0.784601	1.59039	1.99218	1.19982	1.01963	0.408076	0	0.512803	1.38072	0.629617	1.53702	1.76997	0.308556	0.414025	0.82623	0.184846	0.0490266	0.82608	0.986314	0.429662	0.49677	1.13293	0.124195	0	0	0	0.301758	0.582872	0.417232	1.12418	2.35016	0.672391	0	0.0391008	2.57464	0.422673	0	0	0	0	0.277651	0.490195	0.605013	0.785016	2.87882	0.677436	0.86181	0	1.1156	0.45935
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003686.3.4f07d906-46cb-4b49-9eca-84ffb88233a3.fc.signal	0.136939	0.0924348	0	0.113347	0.415657	0.698367	0.830004	0.498302	0.148452	0	0	0	0	0	0.30009	0.544612	0.628671	0.250779	0.0152827	0.0887739	0.119492	0.108636	0.134076	0.13673	0.157539	0.24118	0.265248	0.239533	0.126942	0	0	0	0	0	0.180302	0.303962	0.288895	0.434297	0.425252	0.61198	0.580197	0.592758	0.33748	0.235162	0.150681	0.093067	0	0.0696512	0.166944	0.386545	0.64156	1.0917	0.532918	0	0	0	0	0	0	0	0	0.777892
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001963.2.c17770a0-5e1a-467c-8c25-b0784609b22f.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011975	0.21725	0.368014	0.329792	0.190925	0.071242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0306074	0.23964	0.0614997	0	0	0	0	0	0	0	0.544218
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.dc1d2dc3-279f-44dc-a6f1-0d5154726fd5.fc.signal	0.352192	0.159001	0.0090603	0	0	0	0	0	0.1258	0.20124	0.20124	0.20124	0.270443	0.245145	0.296316	0.309026	0.3933	0.303186	0.321161	0.126394	0.0246245	0.0799791	0.192871	0.20087	0.198225	0.253004	0.314841	0.687557	1.02906	0.866803	0.592428	0.414	0.50315	0.380945	0.435565	0.50315	0.50315	0.465763	0.423901	0.641321	0.736578	0.756144	0.598042	0.735116	0.538602	0.346254	0.250684	0.168378	0.25886	0.163347	0.195867	0.280802	0.330359	0.582627	0.473615	0.389338	0.308499	0.186571	0	0	0.038969	0.477528
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003691.3.6671b082-a817-48d2-abb0-2b33e6b6a3bd.fc.signal	0.195176	0.191304	0.165835	0.10046	0.0943293	0	0	0	0	0	0	0.034416	0.0997921	0.184093	0.0813673	0.0768695	0.103352	0.141872	0.101966	0.0310534	0	0.035434	0.08739	0.083256	0.1235	0.147542	0.151915	0.129925	0.005588	0	0	0	0	0.0842823	0.116001	0.194196	0.200851	0.165384	0.100718	0.0110423	0	0.0784083	0.22248	0.332738	0.283299	0.154429	0.03718	0	0	0.26845	0.588758	0.665603	0.342269	0.183623	0.135143	0.0081688	0	0	0	0.0036895	0.138671	0.816667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003683.3.337d4e8a-e984-41f8-aa57-60f7eb5f2a93.fc.signal	0	0	0	0	0.008768	0.131509	0.237945	0.262297	0.181183	0.0224566	0	0	0	0	0	0	0	0.0562164	0.171786	0.156801	0.18524	0.162454	0.309335	0.348777	0.278811	0.214398	0.217703	0.132053	0	0	0	0	0	0	0	0	0	0	0	0	0.147037	0.237474	0.186926	0	0	0	0	0	0.060394	0.167263	0.205853	0.106115	0	0	0	0	0	0	0	0	0	0.961373
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003685.2.e68f52c1-41a1-4e05-8c93-7ca09c5fb4fe.fc.signal	0	0	0	0.101343	0.124154	0.226306	0.230978	0.316008	0.545563	0.468783	0.459548	0.445465	0.296227	0	0.0651221	0.290515	0.334573	0.244129	0.115493	0.0335322	0.0523812	0.0986402	0.0937915	0.094317	0.0603236	0.051304	0.0556982	0.142693	0.373008	0.307635	0.148221	0	0	0	0	0.0479485	0.124102	0.459973	0.788946	0.800168	0.194276	0	0	0	0	0	0	0.0177991	0.087616	0.0923834	0.170216	0.153415	0.1137	0.143846	0.266449	0.260376	0.232421	0.132437	0.0311616	0.044953	0.18988	0.608696
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003695.3.08f241da-4ea3-4efd-8a07-63057f4f6ca8.fc.signal	0.130793	0.183727	0.157333	0.0976554	0.0620895	0	0	0	0	0	0	0.0197303	0.178961	0.339258	0.467029	0.425145	0.316206	0.221878	0.0874594	0.0594616	0	0.0427623	0.0759715	0.076145	0.0881439	0.092589	0.154882	0.172176	0.0903325	0	0	0.0770129	0.104202	0.100157	0.169689	0.150757	0.144005	0.126634	0.0921969	0.0184039	0	0	0	0	0	0	0	0	0.032481	0.10827	0.243603	0.407738	0.334176	0.09996	0	0	0	0	0	0.0205713	0.108197	0.447471
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001962.2.6ff00d21-c2de-48d7-8406-d314ad572f14.fc.signal	0.164213	0.053068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0937535	0.295412	0	0	0	0	0	0	0	0	0	0	0	0.0077428	0.339688	0.361972	0	0	0	0.013267	0.383859	0.106136	0.820659	0.756195	1.82179	0.16628	0	0	0	0	0	0	0.162004	0.265614	0.194118
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003684.3.803d7f5d-192e-4b5b-9ea2-f9b8994e9342.fc.signal	0.221851	0.512716	0.477099	0.313888	0.127126	0.031329	0.153104	0.247937	0.229143	0.172745	0.120005	0.112317	0.108461	0.0203864	0	0	0	0.0406169	0.0855201	0.134283	0.118753	0.0680128	0.0468575	0.027846	0	0	0	0	0	0	0	0.0158537	0.13872	0.13872	0.13872	0.113258	0.046475	0.112574	0.340469	0.555811	0.137781	0	0.0339093	0.161838	0.266088	0.181357	0.006936	0	0	0	0	0	0	0.211773	0.191428	0.106349	0.27743	0.302113	0.271882	0.46757	0.597501	0.70359
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001952.2.53bb9a01-f358-4483-9142-27b2e32f31f6.fc.signal	0	0	0	0	0	0	0.105397	0.491376	0.314053	0	0	0	0.0705018	0.255853	0.12321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.446429
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001954.2.792a7453-f3de-4e03-b55b-6ed6dc280947.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103652	0.257735	0.195654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.237507	0.477543	0.656897	0.232724	0.22528	0.051124	0	0	0.0897304	0.217107	0.220059	0.128972	0	0	0	0	0	0.0297627	0.332398	0	0	0	0	0	0	0	0	0.269231
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001959.2.3d9a6d56-ebb1-415e-8176-bf018adf69bf.fc.signal	0	0	0	0	0	0	0.373692	0.409484	0	0	0.013482	0.538372	0.535014	0.375015	0.049918	0	0	0	0	0	0	0.238872	0.24959	0.24959	0.00950857	0	0.129195	0.36075	0	0.0437726	0.506459	0.207041	0	0	0.200573	0.49899	0.935615	0.550193	0.0623737	0.243161	0.389623	0.482565	0.6984	0	0	0	0	0.307671	0.56747	0.044666	0	0	0	0	0.995109	0.175268	0	0.486572	0.32296	0	0	0.459893
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001050.8.5efb4e46-177f-4d3d-96a6-19f7c95acfd8.fc.signal	0.282914	0.443758	1.72561	0.451012	0.928191	2.21636	2.33645	0.779533	0.640855	0.131986	0.6537	0.911753	0.45331	0.272623	0.541397	0.408754	0.770339	2.0479	0.730526	1.07529	1.48621	1.68279	1.27923	0.58762	0.168694	0	0	0.0415402	0.199462	0.236828	0.397159	1.08401	0.918844	0.319521	0.187002	0.555138	0.430387	0.289612	0.599583	0.506178	1.14841	0.664921	1.84484	1.64663	0.635834	0.307222	1.48888	1.38781	0.724901	0.628176	0.435462	2.36341	0.544485	1.362	0.533214	0.341742	0.756232	0.863959	0.439368	1.39848	0.683622	0.892086
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003694.3.a7c0537c-0a7d-415e-ae83-a8d9e779153a.fc.signal	0.0802677	0	0	0	0	0	0	0.0976708	0.109214	0.290729	0.428864	0.53275	0.482139	0.548377	0.388552	0.4262	0.395055	0.3559	0.251334	0.298368	0.317603	0.409317	0.441295	0.4391	0.304643	0.315966	0.314026	0.177911	0.010655	0	0	0	0	0	0	0	0	0	0	0.0492461	0.106909	0.156578	0.097847	0.0844613	0.0866318	0	0	0.0198789	0.31965	0.312331	0.259292	0.498104	0.309701	0.165508	0	0	0	0	0	0	0	0.414286
