	chr7:76510584-76510733	chr7:76510734-76510813	chr7:76510814-76510883	chr7:76510884-76510953	chr7:76510954-76511033	chr7:76511034-76511183	chr7:76511184-76511233	chr7:76511234-76511333	chr7:76511334-76511483	chr7:76511484-76511523	chr7:76511524-76511633	chr7:76511634-76511783	chr7:76511784-76511843	chr7:76511844-76511933	chr7:76511934-76511993	chr7:76511994-76512083	chr7:76512084-76512153	chr7:76512154-76512183	chr7:76512184-76512233	chr7:76512234-76512303	chr7:76512304-76512363	chr7:76512364-76512383	chr7:76512384-76512453	chr7:76512454-76512533	chr7:76512534-76512593	chr7:76512594-76512683	chr7:76512684-76512773	chr7:76512774-76512833	chr7:76512834-76512883	chr7:76512884-76512983	chr7:76512984-76513133	chr7:76513134-76513283	chr7:76513284-76513433	chr7:76513434-76513583	chr7:76513584-76513733	chr7:76513734-76513883	chr7:76513884-76514033	chr7:76514034-76514183	chr7:76514184-76514333	chr7:76514334-76514483	chr7:76514484-76514633	chr7:76514634-76514783	chr7:76514784-76514933	chr7:76514934-76515083	chr7:76515084-76515233	chr7:76515234-76515383	chr7:76515384-76515443	chr7:76515444-76515533	chr7:76515534-76515623	chr7:76515624-76515663	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000195.3.78afa2e5-5711-4b0e-8724-55134969481b.fc.signal	1.60857	0.673099	0	0	0	0	0	0.830603	0.602415	0	0.348505	0.90058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.29696	2.7381	3.93375	3.87575	2.99978	2.05362	2.30607	3.25088	4.39927	6.54317	6.77761	7.51693	2.98035	2.08049	2.25984	2.57561	6.42105	4.40732	3.46427	3.73745	2.2209	0.253542	0	0.159664
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003842.2.dde9814b-8b78-4af3-b9ef-87186b3ed1fd.fc.signal	0.212323	0.343015	0.728321	0.49282	0	0	0	0.0077496	0.317868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.323068	0.164053	0.363073	0.118886	0	0	0	0.320564	0.432819	0.213183	0	0	0.319185	0.0038748	0	0	0	0	0	0.138798
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000229.3.88fcdf4d-dd2c-424a-91c6-ca3469132544.fc.signal	0.685025	0.381564	0.334029	0.398324	0.296597	0.236128	0.370027	0.785757	0.976422	0.731283	0.536118	0.32723	0.121387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241533	0.558233	0.654696	0.428477	0.488474	0.606529	0.783846	0.474865	0	0.341285	0.822687	0.836511	0.494499	0.426473	0.237839	0.0886725	0.509913	0.714113	0.532139	0.645893	0.560622	0.361219	0.0070175	0.565217
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000246.3.ce270c8d-29f4-452f-bda1-9304aa0691fd.fc.signal	0.101635	0.116489	0.151889	0.123575	0.0906856	0.0390764	0.099395	0.106186	0.104715	0.097834	0.107817	0.071333	0.0395842	0.0496618	0.0496782	0.0464023	0.0689469	0.0986233	0.10096	0.0888421	0.0633997	0.040685	0.0102793	0.032582	0.074926	0.078925	0.105643	0.196467	0.231192	0.227116	0.123871	0.0974415	0.10874	0.0836539	0.0481114	0.0876092	0.109122	0.171453	0.271312	0.271737	0.260737	0.158867	0.175833	0.229382	0.203704	0.214526	0.208156	0.199603	0.236409	0.353696	0.689655
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.7de26b70-374a-4d7c-b754-070af0779bd1.fc.signal	0.126491	0.216366	0.33287	0.156924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099861	0.54268	0.936644	0.365432	0.122052	0.521582	0.483861	0.259639	0	0	0.0776753	0.867851	0.696923	0.361784	0.743571	0.577099	0.659274	0.481126	0	0	0	0	0.0262662
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000234.3.d628a7a7-c77f-436d-8ccd-d018c7458990.fc.signal	0.143143	0.127909	0.224597	0.213676	0.17773	0.0907345	0.263951	0.310102	0.36247	0.154289	0.203917	0.154376	0.110169	0.007046	0	0	0	0	0	0	0	0	0	0	0	0	0.058204	0.184217	0.213687	0.257146	0.20086	0.114055	0.10609	0.161397	0.0851913	0.0228336	0.0473975	0.0327217	0.130714	0.146218	0.136272	0.181965	0.248208	0.219616	0.227461	0.24114	0.0571705	0	0	0	0.117647
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000953.7.ee348280-6b7c-485f-98b3-1dc4a3d7cb47.fc.signal	1.39383	1.68849	0.0409307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0894725	1.02453	0.528831	0.834705	1.41835	1.46053	2.25753	2.05365	1.38716	1.5104	0.166909	0.597616	2.55463	2.50047	0.430879	0.596964	2.54775	3.58551	1.57782	1.73708	1.59646	0.750123	0	0.333333
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003716.2.3596bec7-569c-4ea1-9600-217bd128de1a.fc.signal	0.919088	1.02927	0.737388	0.0468183	0	0	0	0.39737	0.764699	0.81932	0.584697	0.505247	0.40966	0.300417	0	0	0	0	0	0	0	0	0	0	0	0.0637249	0.609938	1.71375	1.81071	1.9418	1.36638	3.04229	4.07189	1.6506	2.39987	2.61925	3.33781	3.18079	3.564	3.66769	0.84117	0.0355039	0.822051	0.857555	2.30522	2.13019	1.88445	1.80707	1.67962	2.24283	0.92389
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003822.3.eda10e48-105b-4e9a-8f60-553c1509df8f.fc.signal	0.325521	0.34248	0.17976	0.091454	0.07196	0.0374192	0.0948976	0.205666	0.391676	0.408093	0.273899	0.0886919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0583676	0.104279	0.202787	0.209264	0.0997295	0.0901227	0.231541	0.651042	0.498582	0.267551	0.225574	0.480859	0.385521	0.423821	0.580819	0.377319	0.293426	0.338468	0.415189	0.293416	0.272076	0.4291	0.560122	0.541141	0.505618
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000153.3.50797fd4-7103-44b7-91ec-249af3af060d.fc.signal	0	0	0	0	0	0	0	0	0	0	0.343705	0.632336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.361125	0.66329	0.66329	0.271949	0.027198	0.845378	0.5041	1.29336	0.32285	0	0	0.91534	0.853433	0	1.16592	1.10548	0	0	0	0.37131	0.798218	0.762175	0	0	0.70339
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003843.4.c2fb6923-d2e9-4aa0-b49a-8c647a477130.fc.signal	0.179765	0.1774	0.0380143	0	0	0	0.01774	0.303354	0.324051	0.1774	0.351575	0.108805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30158	0.475928	0.53206	0.25911	0.164835	0.172539	0.626281	0.176663	0.290594	0.128804	0	0.101135	0.521491	0.65198	0.366775	0.155545	0.105796	0.334412	0.382149	1.05313	0.620814	0	0	0	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.3b762a00-3a45-430b-9a03-047a2f48270c.fc.signal	1.53544	1.83377	0.830922	0.308256	0.201865	0	0	0.176231	0.210388	0.271421	0.317163	0.662153	0.559492	0.262584	0	0	0	0	0	0	0	0	0	0	0.0482743	0.59356	1.40434	2.27504	2.01196	2.54427	1.98516	2.46969	2.27512	3.23841	1.43088	2.70007	4.12868	4.41832	3.29011	2.57248	4.48104	1.55202	1.18475	2.37098	3.81755	4.17826	3.47005	2.45379	1.96517	2.38088	0.882593
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003833.4.0eee2def-7060-4652-bac9-21261028455b.fc.signal	0.0933368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233342	0.555345	0.700121	0.730343	0.175695	0	0.269025	0.435119	0.392562	0.507913	0.41177	0.166996	0	0.113281
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003845.2.7673cefe-afff-41e8-b1a7-d52d55271696.fc.signal	0.0723569	0	0	0	0	0	0	0.165443	1.07292	0.469832	0.115514	0.195036	0	0	0	0.188248	0.26476	0.141127	0	0	0	0	0	0	0	0.0205784	0.138178	0.308857	0.696155	0.796721	0.267358	0.592065	0.276176	0.0626173	0.239114	0.440265	0.462097	0.595976	1.3538	0.79216	0.331806	0.257648	0.451778	0.599126	0.200314	0.681172	0.954616	0.563301	0.374449	0.282683	0.674157
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004905.1.aa4ec0d5-3aea-4f13-89c0-cd2057b2cb93.fc.signal	2.12842	2.25037	0.886843	0	0	0	0	0.88684	0.709472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.60108	0.718548	0.752206	0.434552	1.12617	3.16571	1.07381	0.112333	0	0	0.348824	0.742843	0.404153	0.693901	0.676505	0.375392	0.615688	0.504088	1.03289	0.435637	0	0.475123	0.930601	1.50557	0.760684
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000233.3.d999326f-0bb9-43a3-80f2-21bc2de5bd70.fc.signal	0.276856	0.770623	1.05664	0.851704	0.427453	0.0336267	0	0	0.0247932	0.119754	0.161253	0.121602	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127348	0.493032	0.507786	0.614375	0.63487	0.455765	0.454335	0.443829	0.470157	0.252943	0.158042	0.440869	0.557254	0.487191	0.607571	0.515189	0.662261	0.894972	0.567739	0.218358	0.109356	0	0	0	0	0.115385
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003824.4.d400eb88-91a8-4354-8aa0-a7fcbf52ae8a.fc.signal	0.0223847	0	0	0	0	0	0	0.20901	0.276584	0.0117863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.078575	0.374017	0.658327	0.556101	0.10285	0	0.0576217	0.286633	0.445633	0.39119	0.122781	0.861553	0.389016	0.848756	0.641589	0.360858	0.647743	0.211775	0.253535	0.09429	0	0	0.133578	0.38961
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004643.3.251ac38a-f30f-4eb1-8d54-f10f77bc7dd8.fc.signal	0.416924	0.543619	0.26104	0.261786	0.0459615	0	0	0	0	0	0.605884	0.395527	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0993153	0.27086	0.230231	0.682703	0.818079	0.835553	0.835049	0.71089	0.508745	0.642363	0.914472	0.356989	0.515011	0.511911	0.709285	0.921926	0.59526	0.419925	0.184836	0.580959	0.625982	0.54189	0.0632063	0	0	0.309123
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.00bffcc7-6bdd-4dff-a3af-f0bc3467ff95.fc.signal	0.000502067	0	0	0	0	0	0	0.0121095	0.373924	0.482232	0.488616	0.228652	0	0	0	0	0	0	0.032292	0.0911096	0.16146	0.16146	0.119942	0.0454106	0	0	0	0	0	0.0766935	0.277609	0.210895	0.118942	0.0005382	0.116717	0.168614	0.313704	0.404589	0.652052	0.517683	0.164108	0.458366	0.315292	0.190464	0.145373	0.206975	0.178895	0.050232	0	0	0.161339
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001918.1.fbe063d6-2cc4-4e86-b2d8-a5dbab869596.fc.signal	0.503976	0	0	0	0	0	0.229995	0.773618	1.18474	0	0.161566	0.473928	0	0	0	0	0	0	0	0	0	0.888615	1.01556	0	0.679529	0.534331	0	2.09053	1.69343	4.13011	1.19295	0.887284	1.3894	0.215974	2.16594	1.0439	1.93002	2.96137	0.771514	0.508745	1.13521	0.561851	0.496078	1.11239	3.30335	0.0129097	0	0.603513	0.839683	1.07464	0.403226
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003694.3.fc8c8322-ec2a-42ca-96d8-185645c9908f.fc.signal	0.134202	0.384036	0.332159	0.12419	0.166546	0.14426	0.028347	0.227781	0.384393	0.056694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0267725	0.28348	0.295784	0.148995	0.263985	0.181436	0	0.17954	0.398287	0.117494	0.123446	0.278259	0.454951	0.386467	0.0683166	0.139887	0	0.210107	0.179985	0.09449	0.009449	0	0	0.169014
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004616.1.5fc2101e-b79e-4aed-9fe2-994fb8efbe2d.fc.signal	0.534901	0.436096	0.287364	0.0438464	0	0.112922	0.11368	0.073892	0.10307	0	0.0857767	0.107617	0.11368	0.11368	0.0473667	0	0	0	0	0	0	0	0	0	0	0.0846284	0.159148	0.299259	0.281863	0.514817	0.523536	0.297773	0.222768	0.449265	0.137156	0.155359	0.214445	0.456854	0.31064	0.69938	1.23335	0.453048	0.162935	0.0879093	0.272766	0.218255	0.068208	0	0	0	0.142857
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000964.7.31304b6b-0e3c-47a2-858e-e0febf9013fe.fc.signal	0.767249	1.74827	0	0	0	0	0	0	0	0	0	0.405741	1.22611	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00864	0.779405	1.16083	2.56329	0.648464	0.663591	0.713116	0.924688	0.492072	1.02267	1.238	0.247143	0.553454	0.800689	0.364607	0	0.114843	0.587301	1.79953	1.23623	1.27003	0.154585	0.783789	0	0.27371
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004703.3.4357bc0d-92fe-4fdc-9b6c-d1d7e257d833.fc.signal	1.01082	0.662593	0.627071	0.277815	0.111125	0	0	0.41339	0.70751	0.44451	0.569776	0.706767	0.42043	0.232132	0	0	0	0	0	0	0	0	0	0	0.294486	0.580326	0.651945	0.609345	1.00903	1.36686	1.27925	1.14164	1.26537	1.41476	1.44535	1.18313	1.02241	0.46856	0.669943	1.01513	1.02223	1.04267	0.83931	0.679342	1.1954	0.960138	0.939026	0.987535	0.865694	0.784722	0.544413
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000232.3.deeb1740-ff27-48b5-993b-e759c8aa7550.fc.signal	0.245002	0.440054	0.519816	0.543402	0.476317	0.212281	0.12792	0.0619572	0.160149	0.186947	0.145889	0.0517521	0	0	0	0.0199606	0.0628391	0.11571	0.115494	0.114876	0.105237	0.11482	0.111334	0.152978	0.232585	0.318408	0.490414	0.629125	0.722846	0.651361	0.483471	0.52241	0.713348	0.61379	0.316785	0.352014	0.321522	0.182586	0.358657	0.553898	0.393037	0.137225	0.269096	0.51793	0.612512	0.332791	0.146972	0.130891	0.0854077	0.0360643	0.566038
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000247.3.d48138c2-a252-44ae-9d3c-40d754a464fb.fc.signal	0.648765	0.595284	0.545066	0.404258	0.183645	0.200599	0.409253	0.363699	0.428967	0.410796	0.398079	0.124875	0.0574065	0.0955171	0.095747	0.0838243	0.0753011	0.0966467	0.0963116	0.096735	0.0655835	0.0145945	0	0	0	0	0.0292491	0.355031	0.469597	0.660151	0.691059	0.569803	0.525256	0.228193	0.00741127	0.209463	0.260865	0.200737	0.277325	0.272312	0.367229	0.276476	0.234458	0.2675	0.474967	0.513637	0.454309	0.272832	0.23857	0.175936	0.528958
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000070.3.347d3afa-c2ed-4926-b64e-b55024096a09.fc.signal	0.51031	0	0	0	0	0	0.082308	0.82308	0.466412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315514	0.82308	1.08647	0.916362	0.0438976	0.515797	0.526771	0	0	0	0.301042	0.480751	1.06452	2.67482	0.488359	0.812104	2.09062	1.64067	1.712	0.20577	0.82308	0.777353	0	0.224551
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003715.2.d19dd174-314a-4acb-be96-200f2ac615ac.fc.signal	1.62624	1.36203	0.790607	0.338401	0.0350009	0	0.0301546	0.21539	0.924516	1.29197	1.0747	0	0	0	0	0	0	0	0	0	0	0	0	0.00538475	0.416309	0.43066	0.693864	1.05158	1.3006	2.37081	2.70897	2.34008	3.90651	2.19044	2.70096	4.96553	6.0069	4.44671	3.59003	3.51068	2.99819	3.48897	2.61556	4.63966	4.70425	4.85394	3.25299	2.46335	2.29448	2.33633	0.833068
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.29b8d050-beec-45b5-afda-a75534d88bfc.fc.signal	0.879118	0.42961	0.153432	0	0	0	0	0	0.0315047	0.42961	0.367121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42961	0.824732	1.49186	0.390672	1.20558	0.601791	0.335989	0.0293053	1.00853	1.13494	0.131737	1.27426	0.873407	0.52122	0.550216	0.171407	0.781776	1.17568	0.522892	0.449787	0.696805	0.42961	0.365806
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003660.4.ccafd7f0-6a4c-4b4d-bd48-59c73047b9a9.fc.signal	0.787873	1.23041	0.607852	0.241899	0.0724793	0.0752026	0.222014	0.684008	2.08799	0.586891	0.788696	1.09091	0.345078	0.461846	0.222208	0.679792	0.636436	0.0731987	0	0	0.266652	0.31371	0.152372	0	0	0.0487978	0.134194	0.290182	0.740515	1.30056	0.842242	0.974348	0.918772	1.23284	1.36313	0.79989	2.15263	0.659093	0.762363	0.819781	1.24081	0.509467	0.405293	1.42447	2.96399	1.22332	0.418298	0.0418278	0	0	0.253807
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000239.3.8ce1f18a-d03e-4c19-95a1-c9c301ff06b5.fc.signal	0.188393	0.233942	0.275292	0.306177	0.325233	0.260347	0.257614	0.191606	0.271478	0.359944	0.416014	0.273311	0.223326	0.164383	0.151207	0.0648987	0	0	0	0	0	0	0	0	0	0.0392652	0.145701	0.204359	0.271257	0.297149	0.393702	0.284771	0.170783	0.21651	0.283513	0.211534	0.240066	0.364487	0.378379	0.411697	0.367592	0.335861	0.317193	0.396213	0.348508	0.159848	0.160419	0.220602	0.316339	0.413879	0.645669
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003827.1.1e656a87-cd07-462f-be4b-e2fe6e07063d.fc.signal	0.0311257	0.259987	0.596851	0.46216	0.02852	0	0	0.208412	0.396964	0	0	0	0	0	0	0.120142	0.1984	0.06944	0	0	0	0	0	0	0.0529067	0.1984	0.0639289	0	0	0	0.74898	0.363204	0.175268	0.307012	0.476936	0.46384	0.657163	0.991032	0.789118	0.582011	0.518865	0.381824	0.458332	0.522803	0.491277	0.0945707	0	0	0	0	0.161512
