	chr11:40931135-40931204	chr11:40931205-40931284	chr11:40931285-40931434	chr11:40931435-40931584	chr11:40931585-40931684	chr11:40931685-40931734	chr11:40931735-40931884	chr11:40931885-40932034	chr11:40932035-40932184	chr11:40932185-40932264	chr11:40932265-40932334	chr11:40932335-40932484	chr11:40932485-40932584	chr11:40932585-40932634	chr11:40932635-40932694	chr11:40932695-40932784	chr11:40932785-40932934	chr11:40932935-40933084	chr11:40933085-40933234	chr11:40933235-40933384	chr11:40933385-40933454	chr11:40933455-40933534	chr11:40933535-40933624	chr11:40933625-40933684	chr11:40933685-40933784	chr11:40933785-40933834	chr11:40933835-40933984	chr11:40933985-40934034	chr11:40934035-40934134	chr11:40934135-40934184	chr11:40934185-40934284	chr11:40934285-40934334	chr11:40934335-40934434	chr11:40934435-40934504	chr11:40934505-40934584	chr11:40934585-40934734	chr11:40934735-40934784	chr11:40934785-40934884	chr11:40934885-40935034	chr11:40935035-40935184	chr11:40935185-40935334	chr11:40935335-40935414	chr11:40935415-40935484	chr11:40935485-40935544	chr11:40935545-40935634	chr11:40935635-40935694	chr11:40935695-40935784	chr11:40935785-40935934	chr11:40935935-40935984	chr11:40935985-40936014	chr11:40936015-40936034	chr11:40936035-40936054	chr11:40936055-40936084	chr11:40936085-40936223	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.0fc0f90b-b2ac-4c17-952e-d39560131bf4.fc.signal	0	0	0.0738196	0.463242	0.148556	0	0	0	0.272917	0.573791	0.440441	0.350025	0.501984	0.286256	0.0617327	0.302949	0.293867	0.295103	0.441219	0	0	0	0	0	0.0239666	0.172782	0.133455	0	0.0642623	0.231402	0.410888	0.62807	0.570088	0.233192	0.0085595	0	0.0431706	0.068382	0.0826933	0.270637	0.104115	0.05243	0.163856	0.165163	0.0976086	0.146648	0.0450381	0.11943	0.22194	0	0	0	0	0	0.502008
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002005.1.1ff1e0cf-fe7a-4485-b51f-e180baac3300.fc.signal	0	0	0	0.508067	0.126595	0	0.0270072	0.44715	0	0	0	0.590356	0.0658294	0	0	0.060016	0.313506	0	0.503325	1.45547	0.126299	0.674425	0.415598	0	0	0	0	0	0	0	0	0	0	0	0	0.126946	0.68007	0.455647	0	0	0.521387	0.255026	0	0	0	0	0	0	0	0	0	0	0	0.587111	0.492063
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000238.3.b63d6dc1-6fc0-4b8d-9bff-172e3f638785.fc.signal	0.14817	0	0	0	0	0	0	0	0	0	0.142471	0.986662	1.25657	0.79784	0.511947	0.319136	0.167546	0.79784	0.436153	1.28977	1.77245	1.51029	0.690082	0.440483	0.075512	0	0	0	0	0	0	0	0	0.267846	0.663204	0.69944	0.295201	0	0	0	0.457423	1.59557	1.46453	1.10368	0.19946	0	0	0	0	0	0	0	0	0	0.503937
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000243.3.6e43a1d4-827b-4226-ab35-bcd9e4427ba9.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91447	2.83618	2.33332	1.31893	0.328277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.448276
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.61dbfaab-48a0-49aa-b249-2516c02981de.fc.signal	0	0	0	1.01369	1.46241	0.153319	0	0	0.514935	0.361142	0.425922	0.288154	0.10328	0.57378	0.553604	0.268534	0.0805584	0.39021	0.955474	0.685728	0.49903	0.0813347	0	0	0	0	0.0477381	0.860439	0.649726	0.340849	0	0	0	0	0	0.168697	0.50985	0.378824	0.272767	0.723733	0.249655	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46875
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.651f7635-fa04-4a73-ad9d-b88c234511f0.fc.signal	2.1681	1.33131	0.29109	0.465074	1.56941	1.40473	0.762226	0.70013	0.429229	0	0.323997	0.577175	0	0.0950898	0.36573	0.325093	0.276241	0.252797	0.561732	0.62272	0.734383	0.173739	0.323612	1.55556	1.78519	0.643812	1.04623	0.73164	0.128029	0.0804606	0.359181	0.318979	0.573597	0.663181	0.260063	0	0	0.608927	0.816806	0.493045	1.09898	0.269801	0.180351	0.162168	0.231138	0.206405	0.00210089	0	0	0	0	0	0.150636	0.673542	0.561446
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.8f250bd6-ace7-4938-8056-c658c54331a9.fc.signal	0	0	0	0	0	0	0.00336553	0.864935	0.713487	0	0	0	0	0	0.176691	1.7894	1.9218	0.339918	2.06987	2.94156	1.68039	0.542689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.932244	0.649542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.671233
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.986e393c-de82-4afc-818b-4cc2a632dc28.fc.signal	0.146659	0.360197	0.308214	0.365711	0.122279	0.468408	0.205062	0	0	0	0.107919	0.773289	0.32769	0	0	0.02418	0.374746	0.0753154	0	0	0.0641014	0.301762	0.321229	0	0	0	0	0	0	0	0	0	0	0	0	0.0946796	0.481626	0.486212	0.0162333	0.0984893	0.411988	0	0	0	0.0645211	0.52902	0.537918	0.0866512	0	0	0	0	0	0	0.462838
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.486b8afb-6747-4d4a-93ee-788cf88097fc.fc.signal	0.459994	0.45031	0.493252	0.530396	0.52889	0.0371866	0	0	0.288532	0.802353	0.43252	0.14955	0.436829	0.0091876	0	0.141744	0.810085	0.246425	0.173578	0.335737	0.111835	0	0.0790867	0.427552	1.02454	0.633273	0.00943767	0.713268	1.11321	0.833268	0.514702	0.352131	0.412983	0.109997	0	0	0.0332004	0.390768	0.671603	0.451861	0.423019	0.856797	0.495604	0.037055	0.061695	0.117881	0.142135	0.515242	0.465129	0.174364	0	0	0	0	0.708075
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.b81732b7-0852-42a0-916a-8784920a02a3.fc.signal	0	0	0.469294	0.576967	0.536923	0	0.522608	0.14122	0.233864	0.25958	0	0	0	0	0	0	0	0.9775	0.460193	0	0	0	0.308009	0.571949	0.70124	0.38441	0.142854	0	0	0	0	0	0	0	0	0.401594	0.54093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.536723
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.da9e495d-70d1-4135-9b7b-7d3c249e647d.fc.signal	0.209426	0.591899	0.189653	0	0	0	0	0.0196387	0.4664	0.170049	0	0.110917	0.234721	0.180085	0.507095	0.478926	0.0377832	0.525405	0.274094	0	0.0145909	0.124787	0.262249	0.305579	0.351645	0.157778	0.000573933	0	0	0	0	0	0.0152816	0.14325	0.231293	0.0477139	0	0	0.168778	0.0954805	0.0412909	0.232969	0.12964	0	0	0.00729517	0.136933	0.271811	0.260132	0.115341	0	0	0	0	0.672727
