Event,Event type,Total Amount of IHEC Entries,Amount Segments total,Amount Significant Segments Spearman,Upstream,Overlapping Upstream Adjacent,Overlapping Upstream Adjacent + RoI,Overlapping Total Up-Down,Overlapping Downstream Adjacent + RoI,Overlapping Downstream Adjacent,Downstream,Overlap General,Significant Segments Spearman,Class,Rest,Sum
000000000000363_ENSG00000145002.12_SE:chr8:12427806-12428633:12428898-12428981:-_H3K27ac.txt,SE,23,54,3,0,0,0,0,0,0,3,0,"['chr8:12429323-12429432', 'chr8:12429433-12429512', 'chr8:12429513-12429582']",H3K27ac,0.0,3.0
000000000000173_ENSG00000109103.11_RI:chr17:28546708:28547409-28547677:28547849:-_H3K27ac.txt,RI,308,36,3,1,0,0,0,0,0,2,0,"['chr17:28545809-28545958', 'chr17:28548209-28548358', 'chr17:28548509-28548658']",H3K27ac,0.0,3.0
000000000000638_ENSG00000196712.17_SE:chr17:31249119-31252938:31253000-31258344:+_H3K27ac.txt,SE,330,34,0,0,0,0,0,0,0,0,0,[],H3K27ac,0.0,0.0
000000000000528_ENSG00000169155.9_SE:chr9:126805132-126808793:126808915-126832487:+_H3K27ac.txt,SE,337,35,9,0,5,1,0,1,2,0,0,"['chr9:126806743-126806892', 'chr9:126808093-126808242', 'chr9:126808243-126808392', 'chr9:126808393-126808542', 'chr9:126808543-126808692', 'chr9:126808693-126808842', 'chr9:126808843-126808992', 'chr9:126809443-126809592', 'chr9:126811393-126811415']",H3K27ac,0.0,9.0
000000000000474_ENSG00000164037.16_SE:chr4:102946789-102949257:102949427-102989800:-_H3K27ac.txt,SE,4,68,0,0,0,0,0,0,0,0,0,[],H3K27ac,0.0,0.0
000000000000048_ENSG00000064989.12_SE:chr2:187387756-187431297:187431364-187448039:-_H3K27ac.txt,SE,140,35,0,0,0,0,0,0,0,0,0,[],H3K27ac,0.0,0.0
000000000000222_ENSG00000120519.14_SE:chr4:146325996-146442783:146442821-146503849:-_H3K27ac.txt,SE,307,34,13,0,7,0,1,0,5,0,0,"['chr4:146441183-146441332', 'chr4:146441333-146441482', 'chr4:146441483-146441632', 'chr4:146441633-146441782', 'chr4:146441783-146441932', 'chr4:146441933-146442082', 'chr4:146442233-146442382', 'chr4:146442683-146442832', 'chr4:146443133-146443282', 'chr4:146443283-146443432', 'chr4:146444183-146444332', 'chr4:146444333-146444482', 'chr4:146444633-146444782']",H3K27ac,0.0,13.0
000000000000249_ENSG00000125731.12_RI:chr19:6754052:6754163-6754251:6754425:-_H3K27ac.txt,RI,186,37,7,0,0,0,0,0,0,7,0,"['chr19:6755113-6755262', 'chr19:6755263-6755412', 'chr19:6755413-6755562', 'chr19:6755563-6755712', 'chr19:6755713-6755862', 'chr19:6756163-6756312', 'chr19:6756313-6756462']",H3K27ac,0.0,7.0
000000000000058_ENSG00000070190.12_SE:chr4:99866121-99866557:99866618-99868117:+_H3K27ac.txt,SE,236,36,5,2,0,0,0,0,2,1,0,"['chr4:99864207-99864356', 'chr4:99864357-99864506', 'chr4:99867507-99867656', 'chr4:99867807-99867956', 'chr4:99868707-99868856']",H3K27ac,0.0,5.0
000000000000477_ENSG00000164221.12_SE:chr5:115269000-115269703:115269798-115271213:-_H3K27ac.txt,SE,264,36,5,1,0,0,0,0,2,2,0,"['chr5:115268253-115268402', 'chr5:115270803-115270952', 'chr5:115270953-115271102', 'chr5:115272003-115272152', 'chr5:115272153-115272298']",H3K27ac,0.0,5.0
000000000000367_ENSG00000145247.11_SE:chr4:48885565-48892772:48892889-48894006:-_H3K27ac.txt,SE,284,35,8,0,5,0,0,0,0,3,0,"['chr4:48890422-48890571', 'chr4:48890572-48890721', 'chr4:48890722-48890871', 'chr4:48892372-48892521', 'chr4:48892522-48892671', 'chr4:48894772-48894921', 'chr4:48895222-48895371', 'chr4:48895372-48895389']",H3K27ac,0.0,8.0
000000000000503_ENSG00000166734.19_SE:chr15:44380976-44402887:44403054-44413336:+_H3K27ac.txt,SE,356,35,6,0,2,0,0,0,4,0,0,"['chr15:44400987-44401136', 'chr15:44401587-44401736', 'chr15:44404137-44404286', 'chr15:44404287-44404436', 'chr15:44404437-44404586', 'chr15:44404887-44405036']",H3K27ac,0.0,6.0
000000000000060_ENSG00000072518.20_SE:chr11:63903158-63903986:63904147-63904786:+_H3K27ac.txt,SE,343,35,21,6,5,0,0,1,2,7,0,"['chr11:63901486-63901635', 'chr11:63902236-63902385', 'chr11:63902536-63902685', 'chr11:63902686-63902835', 'chr11:63902836-63902985', 'chr11:63902986-63903135', 'chr11:63903136-63903285', 'chr11:63903286-63903435', 'chr11:63903436-63903585', 'chr11:63903586-63903735', 'chr11:63903736-63903885', 'chr11:63904036-63904185', 'chr11:63904186-63904335', 'chr11:63904336-63904485', 'chr11:63904936-63905085', 'chr11:63905086-63905235', 'chr11:63905236-63905385', 'chr11:63905536-63905685', 'chr11:63906286-63906435', 'chr11:63906436-63906585', 'chr11:63906586-63906647']",H3K27ac,0.0,21.0
000000000000543_ENSG00000171302.16_RI:chr17:78996992:78997644-78997840:78997963:-_H3K27ac.txt,RI,349,35,34,12,4,1,0,1,1,15,0,"['chr17:78995144-78995293', 'chr17:78995294-78995443', 'chr17:78995444-78995593', 'chr17:78995594-78995743', 'chr17:78995744-78995893', 'chr17:78995894-78996043', 'chr17:78996044-78996193', 'chr17:78996194-78996343', 'chr17:78996344-78996493', 'chr17:78996494-78996643', 'chr17:78996644-78996793', 'chr17:78996794-78996943', 'chr17:78996944-78997093', 'chr17:78997094-78997243', 'chr17:78997244-78997393', 'chr17:78997394-78997543', 'chr17:78997544-78997693', 'chr17:78997694-78997843', 'chr17:78997844-78997993', 'chr17:78997994-78998143', 'chr17:78998144-78998293', 'chr17:78998294-78998443', 'chr17:78998444-78998593', 'chr17:78998594-78998743', 'chr17:78998744-78998893', 'chr17:78998894-78999043', 'chr17:78999044-78999193', 'chr17:78999194-78999343', 'chr17:78999344-78999493', 'chr17:78999494-78999643', 'chr17:78999794-78999943', 'chr17:78999944-79000093', 'chr17:79000094-79000243', 'chr17:79000244-79000340']",H3K27ac,0.0,34.0
000000000000393_ENSG00000149503.12_SE:chr11:62141044-62141500:62141511-62144982:+_H3K27ac.txt,SE,273,34,2,0,0,0,0,0,2,0,0,"['chr11:62143050-62143199', 'chr11:62143650-62143799']",H3K27ac,0.0,2.0
000000000000021_ENSG00000013561.17_SE:chr5:141973742-141974804:141974955-141978303:+_H3K27ac.txt,SE,343,35,6,1,0,0,0,1,4,0,0,"['chr5:141972454-141972603', 'chr5:141974854-141975003', 'chr5:141975754-141975903', 'chr5:141976504-141976653', 'chr5:141976804-141976953', 'chr5:141976954-141977103']",H3K27ac,0.0,6.0
000000000000554_ENSG00000173276.13_RI:chr21:41986831:41991889-41992493:41994108:-_H3K27ac.txt,RI,272,38,1,0,1,0,0,0,0,0,0,['chr21:41989539-41989688'],H3K27ac,0.0,1.0
000000000000078_ENSG00000084234.17_SE:chr11:130135715-130137256:130137291-130140398:+_H3K27ac.txt,SE,357,34,1,0,0,0,0,0,1,0,0,['chr11:130137306-130137455'],H3K27ac,0.0,1.0
000000000000445_ENSG00000162383.12_SE:chr1:53105774-53114758:53114973-53134350:-_H3K27ac.txt,SE,4,128,13,0,8,0,0,0,5,0,0,"['chr1:53113008-53113017', 'chr1:53113018-53113037', 'chr1:53114148-53114167', 'chr1:53114188-53114207', 'chr1:53114208-53114227', 'chr1:53114658-53114697', 'chr1:53114698-53114717', 'chr1:53114718-53114757', 'chr1:53115088-53115107', 'chr1:53115588-53115607', 'chr1:53115608-53115627', 'chr1:53115858-53115867', 'chr1:53115868-53115887']",H3K27ac,0.0,13.0
000000000000201_ENSG00000114423.20_RI:chr3:105680992:105681610-105681724:105681818:-_H3K27ac.txt,RI,83,38,0,0,0,0,0,0,0,0,0,[],H3K27ac,0.0,0.0
000000000000113_ENSG00000101040.19_SE:chr20:47210897-47212642:47212725-47220258:-_H3K27ac.txt,SE,345,35,3,0,0,0,0,0,3,0,0,"['chr20:47212842-47212991', 'chr20:47213292-47213441', 'chr20:47213892-47214041']",H3K27ac,0.0,3.0
000000000000666_ENSG00000204653.9_SE:chr19:50512580-50512661:50512810-50512927:-_H3K27ac.txt,SE,42,36,17,7,0,0,0,0,0,10,0,"['chr19:50510161-50510310', 'chr19:50510311-50510460', 'chr19:50510461-50510610', 'chr19:50510611-50510760', 'chr19:50510761-50510910', 'chr19:50510911-50511060', 'chr19:50511061-50511210', 'chr19:50513911-50514060', 'chr19:50514061-50514210', 'chr19:50514211-50514360', 'chr19:50514361-50514510', 'chr19:50514511-50514660', 'chr19:50514661-50514810', 'chr19:50514811-50514960', 'chr19:50514961-50515110', 'chr19:50515111-50515260', 'chr19:50515261-50515310']",H3K27ac,0.0,17.0
000000000000579_ENSG00000177181.14_SE:chr1:42381097-42396440:42396500-42399404:+_H3K27ac.txt,SE,71,34,15,0,8,0,0,0,7,0,0,"['chr1:42393940-42394089', 'chr1:42394090-42394239', 'chr1:42394690-42394839', 'chr1:42394840-42394989', 'chr1:42395740-42395889', 'chr1:42395890-42396039', 'chr1:42396040-42396189', 'chr1:42396190-42396339', 'chr1:42396640-42396789', 'chr1:42396790-42396939', 'chr1:42397840-42397989', 'chr1:42397990-42398139', 'chr1:42398140-42398289', 'chr1:42398290-42398439', 'chr1:42398740-42398889']",H3K27ac,0.0,15.0
000000000000126_ENSG00000103351.12_SE:chr16:3532841-3533099:3533155-3536122:+_H3K27ac.txt,SE,253,34,17,6,2,0,0,1,8,0,0,"['chr16:3530599-3530748', 'chr16:3531499-3531648', 'chr16:3531949-3532098', 'chr16:3532099-3532248', 'chr16:3532399-3532548', 'chr16:3532549-3532698', 'chr16:3532699-3532848', 'chr16:3532849-3532998', 'chr16:3533149-3533298', 'chr16:3533749-3533898', 'chr16:3534049-3534198', 'chr16:3534499-3534648', 'chr16:3534649-3534798', 'chr16:3534949-3535098', 'chr16:3535099-3535248', 'chr16:3535249-3535398', 'chr16:3535399-3535548']",H3K27ac,0.0,17.0
000000000000609_ENSG00000185737.12_SE:chr10:82979120-82984783:82984854-82985098:+_H3K27ac.txt,SE,35,38,5,0,4,1,0,0,0,0,0,"['chr10:82983183-82983332', 'chr10:82983783-82983932', 'chr10:82983933-82984082', 'chr10:82984683-82984772', 'chr10:82984773-82984832']",H3K27ac,0.0,5.0
000000000000555_ENSG00000173662.20_SE:chr1:6571215-6574631:6575392-6576415:+_H3K27ac.txt,SE,6,84,10,0,2,0,0,0,2,2,4,"['chr1:6573801-6573890', 'chr1:6574391-6574460', 'chr1:6574931-6574950', 'chr1:6574951-6574980', 'chr1:6574981-6575130', 'chr1:6575131-6575160', 'chr1:6575431-6575580', 'chr1:6575581-6575730', 'chr1:6577211-6577230', 'chr1:6577681-6577800']",H3K27ac,0.0,6.0
000000000000181_ENSG00000110172.11_SE:chr11:90214175-90215174:90215230-90218135:-_H3K27ac.txt,SE,331,34,1,1,0,0,0,0,0,0,0,['chr11:90212824-90212973'],H3K27ac,0.0,1.0
000000000000016_ENSG00000010244.18_SE:chr17:32365487-32366665:32366757-32367772:+_H3K27ac.txt,SE,358,35,21,7,6,0,0,0,1,7,0,"['chr17:32364165-32364314', 'chr17:32364315-32364464', 'chr17:32364615-32364764', 'chr17:32364765-32364914', 'chr17:32364915-32365064', 'chr17:32365065-32365214', 'chr17:32365215-32365364', 'chr17:32365515-32365664', 'chr17:32365665-32365814', 'chr17:32365965-32366114', 'chr17:32366115-32366264', 'chr17:32366265-32366414', 'chr17:32366415-32366564', 'chr17:32366865-32367014', 'chr17:32367915-32368064', 'chr17:32368065-32368214', 'chr17:32368215-32368364', 'chr17:32368365-32368514', 'chr17:32368815-32368964', 'chr17:32368965-32369114', 'chr17:32369115-32369257']",H3K27ac,0.0,21.0
000000000000422_ENSG00000154529.14_SE:chr9:41898533-41898769:41898999-41905868:-_H3K27ac.txt,SE,56,35,0,0,0,0,0,0,0,0,0,[],H3K27ac,0.0,0.0
000000000000304_ENSG00000136682.14_SE:chr2:113465173-113471033:113471089-113482177:+_H3K27ac.txt,SE,272,48,3,0,1,0,0,0,2,0,0,"['chr2:113470033-113470182', 'chr2:113471913-113471982', 'chr2:113471983-113472132']",H3K27ac,0.0,3.0
000000000000388_ENSG00000148671.13_SE:chr10:86968605-86970200:86970262-86970476:+_H3K27ac.txt,SE,156,36,6,0,0,0,0,0,0,6,0,"['chr10:86971600-86971749', 'chr10:86971750-86971899', 'chr10:86971900-86972049', 'chr10:86972050-86972199', 'chr10:86972200-86972349', 'chr10:86972650-86972762']",H3K27ac,0.0,6.0
000000000000269_ENSG00000131018.22_SE:chr6:152122676-152130720:152130778-152132122:-_H3K27ac.txt,SE,288,35,0,0,0,0,0,0,0,0,0,[],H3K27ac,0.0,0.0
000000000000384_ENSG00000148334.14_RI:chr9:128125244:128125283-128125376:128125441:-_H3K27ac.txt,RI,331,35,19,7,0,1,0,1,0,10,0,"['chr9:128122783-128122932', 'chr9:128123533-128123682', 'chr9:128123683-128123832', 'chr9:128123833-128123982', 'chr9:128124133-128124282', 'chr9:128124433-128124582', 'chr9:128124583-128124732', 'chr9:128125183-128125332', 'chr9:128125333-128125482', 'chr9:128125483-128125632', 'chr9:128125633-128125782', 'chr9:128125783-128125932', 'chr9:128125933-128126082', 'chr9:128126083-128126232', 'chr9:128126233-128126382', 'chr9:128126683-128126832', 'chr9:128127133-128127282', 'chr9:128127283-128127432', 'chr9:128127433-128127582']",H3K27ac,0.0,19.0
000000000000481_ENSG00000164808.16_SE:chr8:47727293-47728933:47729102-47735307:+_H3K27ac.txt,SE,220,36,10,0,3,0,0,0,7,0,0,"['chr8:47728383-47728532', 'chr8:47728533-47728682', 'chr8:47728683-47728832', 'chr8:47729883-47730032', 'chr8:47730333-47730482', 'chr8:47730633-47730782', 'chr8:47730933-47731082', 'chr8:47731083-47731232', 'chr8:47731233-47731382', 'chr8:47731383-47731532']",H3K27ac,0.0,10.0
000000000000353_ENSG00000143341.11_SE:chr1:186174642-186178416:186178766-186182168:+_H3K27ac.txt,SE,76,36,0,0,0,0,0,0,0,0,0,[],H3K27ac,0.0,0.0
000000000000457_ENSG00000163170.11_SE:chr2:74135658-74142272:74142360-74145189:-_H3K27ac.txt,SE,321,36,5,0,2,0,0,0,3,0,0,"['chr2:74139772-74139921', 'chr2:74139922-74140071', 'chr2:74142772-74142921', 'chr2:74142922-74143071', 'chr2:74143822-74143971']",H3K27ac,0.0,5.0
000000000000193_ENSG00000111615.13_SE:chr12:75502000-75503904:75504074-75505198:-_H3K27ac.txt,SE,334,35,2,1,0,0,0,0,1,0,0,"['chr12:75501704-75501853', 'chr12:75504704-75504853']",H3K27ac,0.0,2.0
000000000000182_ENSG00000110203.8_RI:chr11:72138961:72139110-72139113:72139149:+_H3K27ac.txt,RI,64,34,20,14,0,0,1,0,0,5,0,"['chr11:72136610-72136759', 'chr11:72136760-72136909', 'chr11:72136910-72137059', 'chr11:72137060-72137209', 'chr11:72137210-72137359', 'chr11:72137360-72137509', 'chr11:72137510-72137659', 'chr11:72137660-72137809', 'chr11:72137810-72137959', 'chr11:72137960-72138109', 'chr11:72138110-72138259', 'chr11:72138260-72138409', 'chr11:72138560-72138709', 'chr11:72138710-72138859', 'chr11:72139010-72139159', 'chr11:72139160-72139309', 'chr11:72139310-72139459', 'chr11:72139460-72139609', 'chr11:72139610-72139759', 'chr11:72139760-72139909']",H3K27ac,0.0,20.0
000000000000540_ENSG00000170382.11_SE:chr1:204620218-204682870:204682997-204685320:-_H3K27ac.txt,SE,86,35,0,0,0,0,0,0,0,0,0,[],H3K27ac,0.0,0.0
000000000000576_ENSG00000176406.22_SE:chr8:103921784-103927842:103927889-103931263:+_H3K27ac.txt,SE,42,35,2,0,0,0,0,0,2,0,0,"['chr8:103928342-103928491', 'chr8:103928492-103928641']",H3K27ac,0.0,2.0
000000000000670_ENSG00000214050.7_SE:chr8:28463818-28473772:28473807-28483348:-_H3K27ac.txt,SE,88,36,1,0,0,0,0,0,1,0,0,['chr8:28475172-28475321'],H3K27ac,0.0,1.0
000000000000665_ENSG00000204613.10_RI:chr6:30151945:30153771-30154311:30154486:-_H3K27ac.txt,RI,40,38,0,0,0,0,0,0,0,0,0,[],H3K27ac,0.0,0.0
000000000000283_ENSG00000133392.17_SE:chr16:15704123-15708803:15708841-15714909:-_H3K27ac.txt,SE,92,35,2,0,0,0,0,0,2,0,0,"['chr16:15709303-15709452', 'chr16:15710503-15710652']",H3K27ac,0.0,2.0
000000000000014_ENSG00000008294.20_SE:chr17:51021365-51031681:51031722-51041501:-_H3K27ac.txt,SE,354,34,13,0,5,0,0,0,8,0,0,"['chr17:51029631-51029780', 'chr17:51029931-51030080', 'chr17:51030231-51030380', 'chr17:51030381-51030530', 'chr17:51030531-51030680', 'chr17:51031881-51032030', 'chr17:51032031-51032180', 'chr17:51032781-51032930', 'chr17:51033081-51033230', 'chr17:51033231-51033380', 'chr17:51033381-51033530', 'chr17:51033981-51034130', 'chr17:51034131-51034222']",H3K27ac,0.0,13.0
000000000000587_ENSG00000181722.16_SE:chr3:114693575-114710268:114710313-114758896:-_H3K27ac.txt,SE,41,38,2,0,1,0,0,0,1,0,0,"['chr3:114708668-114708817', 'chr3:114711518-114711667']",H3K27ac,0.0,2.0
000000000000300_ENSG00000135930.13_SE:chr2:232556530-232557884:232558018-232564247:+_H3K27ac.txt,SE,356,35,12,2,2,1,0,0,7,0,0,"['chr2:232555384-232555533', 'chr2:232556284-232556433', 'chr2:232556434-232556583', 'chr2:232556734-232556883', 'chr2:232557784-232557933', 'chr2:232558384-232558533', 'chr2:232558534-232558683', 'chr2:232559284-232559433', 'chr2:232560034-232560183', 'chr2:232560184-232560333', 'chr2:232560334-232560483', 'chr2:232560484-232560518']",H3K27ac,0.0,12.0
000000000000516_ENSG00000168060.15_SE:chr11:65047738-65047981:65048048-65048152:-_H3K27ac.txt,SE,111,34,6,3,0,0,0,0,0,3,0,"['chr11:65046081-65046230', 'chr11:65046381-65046530', 'chr11:65046531-65046680', 'chr11:65048331-65048480', 'chr11:65048481-65048630', 'chr11:65048931-65049080']",H3K27ac,0.0,6.0
000000000000248_ENSG00000125462.16_SE:chr1:156404601-156407080:156407197-156407842:-_H3K27ac.txt,SE,26,36,0,0,0,0,0,0,0,0,0,[],H3K27ac,0.0,0.0
000000000000644_ENSG00000197841.14_SE:chr19:34735046-34736075:34736206-34739148:+_H3K27ac.txt,SE,300,37,12,2,3,0,0,0,7,0,0,"['chr19:34733875-34733944', 'chr19:34734025-34734174', 'chr19:34734925-34735074', 'chr19:34735075-34735224', 'chr19:34735525-34735674', 'chr19:34736725-34736874', 'chr19:34736875-34737024', 'chr19:34737025-34737174', 'chr19:34737175-34737324', 'chr19:34737325-34737474', 'chr19:34738225-34738374', 'chr19:34738375-34738524']",H3K27ac,0.0,12.0
000000000000117_ENSG00000101605.12_RI:chr18:3134650:3134656-3134658:3134824:-_H3K27ac.txt,RI,101,39,18,5,0,0,0,0,1,12,0,"['chr18:3133056-3133205', 'chr18:3133206-3133355', 'chr18:3133806-3133955', 'chr18:3133956-3134105', 'chr18:3134256-3134405', 'chr18:3134706-3134855', 'chr18:3135306-3135455', 'chr18:3135456-3135515', 'chr18:3135516-3135605', 'chr18:3135756-3135905', 'chr18:3135906-3136055', 'chr18:3136356-3136465', 'chr18:3136466-3136505', 'chr18:3136506-3136655', 'chr18:3136656-3136725', 'chr18:3136726-3136805', 'chr18:3136806-3136955', 'chr18:3136956-3137105']",H3K27ac,0.0,18.0
000000000000514_ENSG00000167889.12_SE:chr17:76932775-76933292:76933297-76937988:+_H3K27ac.txt,SE,33,36,5,0,0,0,0,0,5,0,0,"['chr17:76934692-76934841', 'chr17:76934842-76934991', 'chr17:76934992-76935141', 'chr17:76935142-76935291', 'chr17:76935442-76935591']",H3K27ac,0.0,5.0
000000000000605_ENSG00000185040.13_RI:chr7:76533876:76533975-76534057:76534119:-_H3K27ac.txt,RI,7,34,0,0,0,0,0,0,0,0,0,[],H3K27ac,0.0,0.0
000000000000553_ENSG00000173253.15_RI:chr9:1051614:1051661-1052130:1052138:+_H3K27ac.txt,RI,24,46,10,6,0,1,0,1,0,0,2,"['chr9:1049161-1049310', 'chr9:1049311-1049390', 'chr9:1049391-1049460', 'chr9:1051211-1051260', 'chr9:1051261-1051410', 'chr9:1051501-1051560', 'chr9:1051561-1051710', 'chr9:1051711-1051860', 'chr9:1051861-1052010', 'chr9:1052011-1052160']",H3K27ac,0.0,8.0
000000000000432_ENSG00000158062.20_SE:chr1:26286037-26294205:26294331-26296919:-_H3K27ac.txt,SE,268,37,7,0,4,0,0,0,3,0,0,"['chr1:26292605-26292684', 'chr1:26293055-26293204', 'chr1:26293205-26293354', 'chr1:26293355-26293504', 'chr1:26295005-26295154', 'chr1:26295905-26296054', 'chr1:26296055-26296204']",H3K27ac,0.0,7.0
000000000000583_ENSG00000179950.13_SE:chr8:143818534-143820666:143820716-143821597:-_H3K27ac.txt,SE,357,34,0,0,0,0,0,0,0,0,0,[],H3K27ac,0.0,0.0
000000000000566_ENSG00000174946.6_SE:chr3:151199439-151200909:151200997-151203104:-_H3K27ac.txt,SE,76,37,1,0,0,0,0,0,1,0,0,['chr3:151203059-151203128'],H3K27ac,0.0,1.0
000000000000508_ENSG00000167306.19_SE:chr18:49853647-49856813:49856890-49863227:-_H3K27ac.txt,SE,123,35,0,0,0,0,0,0,0,0,0,[],H3K27ac,0.0,0.0
000000000000499_ENSG00000166436.16_SE:chr11:8674883-8678134:8678169-8679620:-_H3K27ac.txt,SE,201,34,8,0,5,0,1,0,0,2,0,"['chr11:8675634-8675783', 'chr11:8675784-8675933', 'chr11:8676234-8676383', 'chr11:8676984-8677133', 'chr11:8677584-8677733', 'chr11:8678034-8678183', 'chr11:8679684-8679833', 'chr11:8680284-8680433']",H3K27ac,0.0,8.0
